year,United States_direct,United States_recursive,China_direct,China_recursive,India_direct,India_recursive
2023,5240.14,5240.14,10714.26,10714.26,2932.58,2932.58
2024,5374.19,5098.19,11115.63,10703.2,3087.91,3213.21
2025,5248.74,4821.28,10807.36,11493.06,3142.23,3335.48
2026,5093.27,4682.0,10967.95,11412.91,3150.45,3293.66
2027,5073.89,4693.98,11420.97,11832.44,3274.55,3421.73
2028,4907.82,4689.34,11638.77,12588.53,3381.62,3606.5
2029,4838.24,4830.69,11861.53,12742.24,3494.61,3738.43
2030,4988.45,5049.3,12144.69,13217.6,3654.03,3890.2
2031,5144.97,5289.45,12511.3,14088.82,3793.62,4216.68
2032,5232.92,5344.07,12893.75,14448.86,3906.44,4241.19
