Target,Model,Unit,Countries,Avg_RMSE,Min_RMSE,Max_RMSE,Avg_MASE,Min_MASE,Max_MASE
co2,ARIMA,Million tonnes CO2,19,205.27886526290627,13.555455742030198,2243.3207307513508,1.9441186621100257,0.8051521267359495,4.870645997752286
co2,VAR,Million tonnes CO2,19,417.1204638746659,26.89526690667246,4018.7514154931487,5.936202203030876,1.4651673609020974,16.476580199183836
co2,LSTM,Million tonnes CO2,19,742.489507415514,78.14649973834325,8206.254929940786,12.621373467896186,1.690443616642292,33.510313548309064
co2,Bi-LSTM,Million tonnes CO2,19,748.8609994347145,77.38862593787259,8217.841532517348,12.574315620877677,2.179486839485853,33.65597406855762
co2,ED-LSTM,Million tonnes CO2,19,751.3744989945845,43.16807210322028,8321.348064873433,12.601898483341843,1.8266401223034425,34.003697941771854
co2,CNN,Million tonnes CO2,19,765.3053454333569,69.85861797930937,8285.032174318458,13.002465084298729,2.4189680621497462,33.94341945294409
gdp,ARIMA,Trillion USD,19,0.11105251276297098,0.02475515991874825,0.32026528587692266,3.4247451214926192,1.2098904587676451,8.80693577611708
gdp,VAR,Trillion USD,19,0.24236624742817617,0.03764992890500952,0.6944097229966144,11.35594147824229,1.8737419444931243,35.805613462661526
gdp,LSTM,Trillion USD,19,0.644442697351525,0.28735447316988594,1.7490874542235322,30.948411729184063,17.150691076737388,45.16161303795002
gdp,Bi-LSTM,Trillion USD,19,0.6466952764521323,0.2857611309561462,1.7579224479754074,30.98236492108458,16.00039243333197,44.80387857212621
gdp,ED-LSTM,Trillion USD,19,0.6385810788715222,0.2914321087355053,1.7100816704196333,30.878304898470308,16.22102057838587,44.89210602930919
gdp,CNN,Trillion USD,19,0.6476215045718704,0.28362133612697205,1.7432034483127383,31.172763778513584,17.082726224817954,45.35217593353329
primary_energy_consumption,ARIMA,Thousand TWh,19,0.8560785531482172,0.05653899844058353,10.316007482381316,2.030271047128522,1.0743976104630923,5.390022795256635
primary_energy_consumption,VAR,Thousand TWh,18,1.0062951953433537,0.08308127714798193,6.667972631848908,5.076994886681524,1.4315441005790883,8.398939950082308
primary_energy_consumption,LSTM,Thousand TWh,19,2.9018586951128427,0.18425299110180435,30.01131138428124,13.315010511598796,1.9760361921768967,31.007647964376787
primary_energy_consumption,Bi-LSTM,Thousand TWh,19,2.8681659975993337,0.16915865764632299,29.64405225265061,13.30457857214333,1.52999464342106,30.540897060975905
primary_energy_consumption,ED-LSTM,Thousand TWh,19,2.9350577804207214,0.064889737847842,30.739131864079773,13.390460345334008,0.8236950583632431,33.22079856187996
primary_energy_consumption,CNN,Thousand TWh,19,2.822571564151925,0.14763253780692012,28.96988680290755,13.26345066173631,2.2385372417529856,29.66518831892845
