country,year,primary_energy_consumption,population,energy_per_capita,gdp,energy_per_gdp,coal_co2,share_global_other_co2,temperature_change_from_n2o,cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cement_co2,share_global_cumulative_flaring_co2,consumption_co2,land_use_change_co2,gas_co2,nitrous_oxide,gas_co2_per_capita,share_global_flaring_co2,share_global_luc_co2,co2_including_luc_per_gdp,other_co2_per_capita,share_global_coal_co2,cement_co2,methane_per_capita,co2,co2_including_luc_growth_prct,methane,cumulative_gas_co2,share_of_temperature_change_from_ghg,trade_co2,share_global_co2,temperature_change_from_ghg,other_industry_co2,share_global_cumulative_luc_co2,co2_including_luc,consumption_co2_per_gdp,coal_co2_per_capita,trade_co2_share,cement_co2_per_capita,share_global_cumulative_coal_co2,share_global_co2_including_luc,share_global_cumulative_co2_including_luc,temperature_change_from_co2,co2_growth_abs,cumulative_coal_co2,co2_per_gdp,ghg_per_capita,co2_including_luc_per_capita,co2_per_capita,total_ghg,consumption_co2_per_capita,land_use_change_co2_per_capita,oil_co2,flaring_co2,nitrous_oxide_per_capita,share_global_cumulative_other_co2,ghg_excluding_lucf_per_capita,cumulative_co2_including_luc,share_global_oil_co2,flaring_co2_per_capita,total_ghg_excluding_lucf,co2_growth_prct,co2_including_luc_per_unit_energy,co2_per_unit_energy,cumulative_flaring_co2,co2_including_luc_growth_abs,share_global_gas_co2,share_global_cumulative_co2,cumulative_cement_co2,cumulative_oil_co2,share_global_cumulative_gas_co2,temperature_change_from_ch4,cumulative_other_co2,cumulative_co2,share_global_cumulative_cement_co2,oil_co2_per_capita,hydro_elec_per_capita,other_renewable_electricity,biofuel_elec_per_capita,low_carbon_cons_change_twh,per_capita_electricity,low_carbon_cons_change_pct,oil_share_energy,oil_energy_per_capita,hydro_consumption,low_carbon_electricity,gas_production,electricity_generation,solar_cons_change_pct,gas_cons_change_pct,other_renewables_cons_change_twh,wind_share_energy,energy_cons_change_pct,fossil_cons_change_twh,biofuel_cons_change_twh,gas_share_elec,carbon_intensity_elec,gas_consumption,coal_prod_per_capita,biofuel_share_energy,solar_share_elec,gas_prod_per_capita,gas_energy_per_capita,low_carbon_share_energy,fossil_electricity,solar_elec_per_capita,biofuel_cons_change_pct,electricity_demand,renewables_cons_change_twh,oil_prod_per_capita,wind_electricity,wind_energy_per_capita,renewables_energy_per_capita,renewables_cons_change_pct,renewables_consumption,gas_cons_change_twh,wind_cons_change_twh,other_renewables_share_energy,oil_cons_change_pct,nuclear_share_elec,nuclear_cons_change_twh,electricity_demand_per_capita,gas_electricity,renewables_elec_per_capita,oil_consumption,oil_prod_change_pct,other_renewables_share_elec,hydro_electricity,other_renewables_cons_change_pct,other_renewables_elec_per_capita,solar_energy_per_capita,renewables_electricity,gas_share_energy,other_renewables_share_elec_exc_biofuel,biofuel_electricity,coal_cons_change_pct,coal_prod_change_pct,other_renewables_energy_per_capita,wind_cons_change_pct,coal_consumption,wind_consumption,biofuel_consumption,oil_production,other_renewables_elec_per_capita_exc_biofuel,solar_electricity,nuclear_electricity,coal_share_energy,net_elec_imports_share_demand,low_carbon_energy_per_capita,hydro_cons_change_pct,solar_consumption,fossil_elec_per_capita,fossil_energy_per_capita,wind_elec_per_capita,coal_prod_change_twh,electricity_share_energy,gas_elec_per_capita,other_renewable_consumption,nuclear_cons_change_pct,solar_cons_change_twh,oil_share_elec,fossil_share_energy,fossil_share_elec,coal_elec_per_capita,biofuel_share_elec,greenhouse_gas_emissions,low_carbon_elec_per_capita,nuclear_consumption,net_elec_imports,nuclear_share_energy,low_carbon_share_elec,coal_production,oil_prod_change_twh,oil_cons_change_twh,renewables_share_elec,coal_electricity,fossil_fuel_consumption,biofuel_cons_per_capita,renewables_share_energy,hydro_share_elec,wind_share_elec,nuclear_elec_per_capita,coal_cons_change_twh,oil_elec_per_capita,hydro_energy_per_capita,hydro_share_energy,oil_electricity,gas_prod_change_twh,hydro_cons_change_twh,nuclear_energy_per_capita,low_carbon_consumption,solar_share_energy,fossil_cons_change_pct,gas_prod_change_pct,coal_cons_per_capita,other_renewable_exc_biofuel_electricity,energy_cons_change_twh,coal_share_elec
Argentina,1850,,1088372.0,,2193400064.0,,,,,11.577,,,,,11.577,,0.702,,,0.439,,,,,3.904,,,4.249,,,,,,,0.439,,,,,,,,,,,,,27.845,,,30.306,,10.637,,,0.645,,0.55,,,,0.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1851,,1115018.0,,,,,,0.0,23.692,,,,,12.115,,0.713,,,0.43,,,,,3.917,,,4.367,,0.851,,,0.0,,0.434,,,,,,,,,0.0,,,,28.134,,,31.37,,10.865,,,0.64,,0.547,,,,0.61,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1852,,1138141.0,,,,,,0.0,35.732,,,,,12.04,,0.724,,,0.421,,,,,3.941,,,4.485,,0.858,,,0.0,,0.43,,,,,,,,,0.0,,,,28.359,,,32.277,,10.579,,,0.637,,0.545,,,,0.621,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1853,,1157536.0,,,,,,0.0,47.873,,,,,12.141,,0.735,,,0.418,,,,,3.976,,,4.603,,0.865,,,0.0,,0.427,,,,,,,,,0.0,,,,28.698,,,33.218,,10.489,,,0.635,,0.545,,,,0.631,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1854,,1177263.0,,,,,,0.0,60.081,,,,,12.208,,0.746,,,0.419,,,,,4.01,,,4.721,,0.871,,,0.0,,0.425,,,,,,,,,0.0,,,,29.021,,,34.165,,10.369,,,0.633,,0.545,,,,0.642,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1855,,1197325.0,,,,,,0.0,72.345,,,,,12.264,,0.755,,,0.426,,,,,4.041,,,4.839,,0.88,,,0.0,,0.425,,,,,,,,,0.0,,,,29.291,,,35.071,,10.243,,,0.631,,0.545,,,,0.653,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1856,,1217730.0,,,,0.017,,0.0,84.787,,,,,12.442,,0.764,,,0.419,,,0.006,,4.071,0.017,,4.957,,0.887,,0.006,0.0,,0.424,12.459,,0.014,,,0.0,0.384,0.058,0.0,,0.017,,29.634,10.231,0.014,36.086,,10.218,,,0.628,,0.559,12.459,,,0.681,,,,,,,0.0,,,,0.0,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1857,,1238482.0,,,,0.041,,0.0,97.324,,,,,12.537,,0.773,,,0.425,,,0.014,,4.099,0.041,0.953,5.076,,0.896,,0.014,0.0,,0.424,12.578,,0.033,,,0.001,0.389,0.101,0.0,0.024,0.057,,29.943,10.156,0.033,37.084,,10.123,,,0.624,,0.578,25.036,,,0.716,144.772,,,,0.119,,0.001,,,,0.0,,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1858,,1259588.0,,,,0.053,,0.0,110.073,,,,,12.749,,0.78,,,0.429,,,0.018,,4.123,0.053,1.781,5.194,,0.906,,0.018,0.0,,0.425,12.802,,0.042,,,0.002,0.393,0.135,0.0,0.012,0.11,,30.25,10.163,0.042,38.103,,10.121,,,0.619,,0.586,37.838,,,0.738,29.47,,,,0.224,,0.002,,,,0.0,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1859,,1285058.0,,,,0.034,,0.0,122.898,,,,,12.826,,0.785,,,0.422,,,0.011,,4.133,0.034,0.453,5.312,,0.914,,0.011,0.0,,0.425,12.86,,0.026,,,0.002,0.385,0.161,0.0,-0.019,0.144,,30.36,10.007,0.026,39.015,,9.981,,,0.611,,0.568,50.697,,,0.73,-35.899,,,,0.058,,0.002,,,,0.0,,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1860,,1315097.0,,,,0.042,,0.0,136.638,,,,,13.74,,0.79,,,0.494,,,0.013,,4.129,0.042,7.167,5.43,,0.928,,0.012,0.0,,0.431,13.781,,0.032,,,0.003,0.443,0.187,0.0,0.008,0.186,,30.645,10.479,0.032,40.301,,10.448,,,0.601,,0.569,64.479,,,0.748,22.755,,,,0.922,,0.003,,,,0.0,,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
