country,year,energy_per_capita,gdp,primary_energy_consumption,energy_per_gdp,population,cumulative_cement_co2,methane,gas_co2,consumption_co2_per_capita,share_global_cumulative_flaring_co2,cumulative_coal_co2,land_use_change_co2,oil_co2_per_capita,share_global_co2_including_luc,share_global_cumulative_coal_co2,share_global_other_co2,co2_growth_prct,coal_co2_per_capita,cumulative_oil_co2,share_global_cumulative_other_co2,co2_per_capita,other_industry_co2,share_global_cumulative_cement_co2,trade_co2,land_use_change_co2_per_capita,nitrous_oxide,co2,co2_per_unit_energy,cement_co2_per_capita,consumption_co2_per_gdp,methane_per_capita,co2_including_luc_growth_prct,temperature_change_from_co2,co2_including_luc_growth_abs,share_global_luc_co2,temperature_change_from_n2o,flaring_co2,share_global_cumulative_co2_including_luc,cumulative_co2,oil_co2,cumulative_flaring_co2,share_global_cumulative_luc_co2,co2_including_luc_per_capita,temperature_change_from_ch4,share_global_gas_co2,co2_including_luc_per_unit_energy,share_global_cumulative_oil_co2,flaring_co2_per_capita,share_global_oil_co2,temperature_change_from_ghg,share_global_cumulative_gas_co2,ghg_excluding_lucf_per_capita,total_ghg_excluding_lucf,cumulative_luc_co2,share_of_temperature_change_from_ghg,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cumulative_co2,coal_co2,consumption_co2,share_global_flaring_co2,cement_co2,co2_per_gdp,co2_including_luc_per_gdp,co2_growth_abs,co2_including_luc,other_co2_per_capita,share_global_coal_co2,cumulative_gas_co2,total_ghg,nitrous_oxide_per_capita,gas_co2_per_capita,cumulative_co2_including_luc,share_global_cement_co2,ghg_per_capita,renewables_cons_change_pct,coal_prod_change_pct,hydro_cons_change_twh,net_elec_imports,solar_cons_change_twh,hydro_elec_per_capita,fossil_electricity,oil_consumption,gas_prod_per_capita,other_renewable_exc_biofuel_electricity,biofuel_elec_per_capita,oil_prod_per_capita,gas_prod_change_twh,gas_energy_per_capita,gas_prod_change_pct,other_renewables_elec_per_capita,oil_cons_change_pct,low_carbon_cons_change_pct,coal_prod_change_twh,solar_electricity,gas_electricity,oil_energy_per_capita,fossil_energy_per_capita,electricity_share_energy,fossil_cons_change_twh,hydro_consumption,biofuel_cons_per_capita,wind_energy_per_capita,other_renewables_share_energy,energy_cons_change_twh,per_capita_electricity,wind_share_energy,fossil_elec_per_capita,renewables_electricity,solar_elec_per_capita,low_carbon_energy_per_capita,nuclear_share_energy,nuclear_elec_per_capita,low_carbon_share_elec,other_renewable_electricity,gas_share_elec,coal_cons_per_capita,oil_elec_per_capita,fossil_share_elec,biofuel_cons_change_twh,nuclear_electricity,other_renewables_cons_change_pct,oil_share_elec,renewables_share_elec,other_renewables_share_elec_exc_biofuel,net_elec_imports_share_demand,hydro_share_energy,oil_share_energy,wind_elec_per_capita,low_carbon_electricity,oil_production,other_renewable_consumption,gas_production,solar_consumption,fossil_cons_change_pct,greenhouse_gas_emissions,gas_cons_change_twh,gas_elec_per_capita,hydro_energy_per_capita,low_carbon_cons_change_twh,solar_energy_per_capita,coal_share_energy,hydro_electricity,coal_production,oil_prod_change_twh,coal_cons_change_twh,energy_cons_change_pct,wind_cons_change_twh,gas_share_energy,oil_electricity,biofuel_consumption,carbon_intensity_elec,nuclear_consumption,low_carbon_share_energy,oil_cons_change_twh,nuclear_energy_per_capita,biofuel_share_energy,other_renewables_elec_per_capita_exc_biofuel,fossil_fuel_consumption,coal_electricity,gas_cons_change_pct,renewables_elec_per_capita,renewables_consumption,hydro_share_elec,biofuel_share_elec,other_renewables_share_elec,wind_consumption,oil_prod_change_pct,low_carbon_consumption,hydro_cons_change_pct,solar_cons_change_pct,solar_share_elec,wind_share_elec,coal_cons_change_pct,wind_cons_change_pct,coal_prod_per_capita,nuclear_cons_change_twh,electricity_generation,nuclear_share_elec,electricity_demand_per_capita,renewables_energy_per_capita,nuclear_cons_change_pct,coal_elec_per_capita,other_renewables_energy_per_capita,renewables_cons_change_twh,gas_consumption,wind_electricity,renewables_share_energy,low_carbon_elec_per_capita,coal_consumption,biofuel_electricity,solar_share_energy,electricity_demand,other_renewables_cons_change_twh,biofuel_cons_change_pct,fossil_share_energy,coal_share_elec
Argentina,1960,,182678470656.0,,,20386054.0,20.52,91.096,2.363,,,333.7,33.621,2.021,0.512,0.138,,-0.377,0.192,568.459,,2.392,,1.015,,1.649,27.422,48.764,,0.064,,4.469,-17.672,0.005,-17.685,0.501,0.0,,1.054,958.191,41.191,,1.524,4.041,0.003,0.283,,1.102,,1.32,0.008,0.329,3.212,65.473,7498.232,1.638,,,0.519,0.311,3.906,,,1.305,0.267,0.451,-0.184,82.386,,0.076,35.513,204.545,1.345,0.116,8384.078,0.829,10.034,,-9.967,,,,,,,728.909,,,5222.42,5.599,,60.627,,,,-0.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.275,,14.833,,,,,,,,,,,1.86,32.099,,,,,,,,,,,,,,,,,,,,,,,43.274,,,,,,,,91.394,,,,,,,,,,,,,,,,,,,,,
Argentina,1961,,195762241536.0,,,20726278.0,21.955,94.602,4.03,,,337.239,65.593,2.032,0.719,0.136,,4.844,0.171,610.58,,2.467,,1.005,,3.165,28.169,51.127,,0.069,,4.564,41.675,0.005,34.334,0.962,0.0,,1.047,1009.317,42.121,,1.517,5.632,0.003,0.457,,1.113,,1.273,0.009,0.339,3.296,68.308,7563.826,1.625,,,0.543,0.318,3.539,,,1.436,0.261,0.596,2.362,116.72,,0.072,39.543,225.584,1.359,0.194,8500.798,0.875,10.884,,25.461,,,,,,,1222.377,,,6608.869,10.446,,70.427,,,,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.676,,25.28,,,,,,,,,,,2.333,30.401,,,,,,,,,,,,,,,,,,,,,,,28.606,,,,,,,,112.829,,,,,,,,,,,,,,,,,,,,,
Argentina,1962,,192596967424.0,,,21072543.0,23.402,95.261,5.108,,,339.247,69.165,2.139,0.764,0.134,,4.916,0.095,655.658,,2.545,,0.991,,3.282,27.879,53.64,,0.069,,4.521,5.213,0.005,6.085,1.093,0.0,,1.042,1062.957,45.078,,1.511,5.828,0.003,0.528,,1.122,,1.266,0.009,0.354,3.391,71.461,7632.99,1.613,,,0.55,0.325,2.008,,,1.446,0.279,0.638,2.513,122.805,,0.041,44.651,229.331,1.323,0.242,8623.603,0.82,10.883,,-15.882,,,,,,,1519.478,,,7588.139,6.66,,26.347,,,,-0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.505,,31.94,,,,,,,,,,,1.963,22.83,,,,,,,,,,,,,,,,,,,,,,,16.704,,,,,,,,93.375,,,,,,,,,,,,,,,,,,,,,
Argentina,1963,,187954610176.0,,,21421703.0,24.655,90.263,5.829,,,341.552,70.916,1.897,0.736,0.133,,-6.725,0.108,696.303,,2.336,,0.968,,3.31,26.966,50.033,,0.059,,4.214,-1.512,0.005,-1.857,1.151,0.0,,1.036,1112.99,40.645,,1.507,5.646,0.003,0.557,,1.119,,1.068,0.009,0.369,3.152,67.53,7703.906,1.598,,,0.487,0.33,2.305,,,1.254,0.266,0.643,-3.607,120.948,,0.045,50.48,222.975,1.259,0.272,8744.552,0.674,10.409,,-27.622,,,,,,,1709.904,,,7384.968,4.59,,14.372,,,,-0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.773,,36.53,,,,,,,,,,,1.421,-1.733,,,,,,,,,,,,,,,,,,,,,,,-1.086,,,,,,,,66.496,,,,,,,,,,,,,,,,,,,,,
Argentina,1964,,207332556800.0,,,21769451.0,26.094,94.842,6.467,,,344.109,77.725,2.077,0.8,0.131,,11.267,0.117,741.51,,2.557,,0.948,,3.57,28.312,55.67,,0.066,,4.357,10.291,0.005,12.447,1.327,0.0,,1.031,1168.66,45.207,,1.505,6.128,0.003,0.561,,1.118,,1.101,0.009,0.384,3.398,73.964,7781.631,1.585,,,0.514,0.335,2.557,,,1.439,0.269,0.643,5.637,133.395,,0.049,56.947,237.776,1.301,0.297,8877.946,0.698,10.922,,60.386,,,,,,,1853.222,,,7502.435,3.7,,10.129,,,,0.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.867,,40.231,,,,,,,,,,,2.278,5.094,,,,,,,,,,,,,,,,,,,,,,,3.229,,,,,,,,104.958,,,,,,,,,,,,,,,,,,,,,
Argentina,1965,14896.737,226284879872.0,328.528,1.452,22112635.0,27.726,102.392,7.247,,,346.71,131.975,2.14,1.126,0.129,,5.631,0.118,788.834,,2.659,,0.934,,5.968,29.919,58.805,0.179,0.074,,4.63,43.019,0.005,57.385,2.346,0.0,,1.033,1227.465,47.324,,1.514,8.628,0.004,0.589,0.581,1.115,,1.073,0.009,0.4,3.509,77.604,7913.606,1.576,,,0.52,0.341,2.601,,,1.632,0.26,0.843,3.135,190.78,,0.049,64.194,276.239,1.353,0.328,9068.727,0.754,12.492,,12.651,,,,55.404,,275.216,2053.277,,,7258.847,5.052,1869.712,12.557,0.0,,,0.288,,,12479.375,14732.473,,,3.623,,,0.0,,,,,,,164.265,0.0,0.0,,0.0,,383.385,,,,0.0,,,,,,1.103,83.773,,,160.084,0.0,45.282,,,,,,164.265,,,2.574,1.225,2.567,-2.782,,,,12.551,,,,0.0,1.103,,0.0,,,324.905,,,,3.623,,,,,-1.708,3.623,,,,,,,116.385,,,,,164.265,,,0.0,,41.234,,1.103,,8.455,,,,,,98.897,
Argentina,1966,15139.622,227834527744.0,339.175,1.489,22453898.0,29.449,105.903,7.848,,0.143,349.297,130.313,2.163,1.132,0.128,,7.258,0.115,837.404,,2.809,,0.919,,5.804,31.046,63.073,0.186,0.077,,4.716,1.366,0.005,2.606,2.495,0.0,2.345,1.035,1290.538,48.57,2.345,1.524,8.613,0.004,0.586,0.57,1.109,0.104,1.021,0.009,0.414,3.663,82.255,8043.919,1.568,,,0.532,0.347,2.587,,1.622,1.723,0.277,0.849,4.268,193.385,,0.048,72.042,284.321,1.383,0.35,9262.111,0.739,12.662,1.291,-4.545,0.047,,,55.266,,283.876,2191.202,,,7602.036,3.807,1993.347,8.408,0.0,3.147,1.291,-0.117,,,12671.285,14975.831,,10.6,3.669,,,0.0,10.647,,,,,,163.79,0.0,0.0,,0.0,,311.199,,,,0.0,,,,,,1.082,83.696,,,170.309,0.0,49.09,,3.263,,3.423,,163.79,0.047,,2.056,1.241,2.45,10.225,-1.483,3.241,,13.166,,,,0.0,1.082,8.66,0.0,,,335.505,,8.302,,3.669,,,,,6.387,3.669,1.291,,,,-17.543,,109.362,0.0,,,,163.79,,,0.0,0.047,44.657,,1.082,,6.972,,,,0.0,,98.918,
Argentina,1967,15337.348,233929080832.0,349.032,1.492,22799062.0,31.204,110.13,8.208,,0.281,352.236,189.051,2.183,1.443,0.126,,3.81,0.129,887.182,,2.872,,0.906,,8.292,32.337,65.476,0.188,0.077,,4.83,31.617,0.005,61.142,3.5,0.0,2.796,1.043,1356.014,49.777,5.141,1.544,11.164,0.004,0.573,0.729,1.101,0.123,0.981,0.009,0.426,3.729,85.023,8232.97,1.562,,,0.535,0.353,2.939,,1.466,1.756,0.28,1.088,2.403,254.527,,0.056,80.251,320.203,1.418,0.36,9516.639,0.732,14.045,2.399,13.445,0.088,,,55.735,,290.735,2263.169,,,8157.541,2.413,2052.09,4.916,0.0,2.416,2.399,0.329,,,12775.62,15172.236,,9.769,3.757,,,0.0,9.857,,,,,,165.111,0.0,0.0,,0.0,,344.527,,,,0.0,,,,,,1.077,83.297,,,185.641,0.0,51.503,,2.912,,2.042,,165.111,0.088,,2.246,1.271,2.779,15.332,0.869,2.906,,13.38,,,,0.0,1.077,6.859,0.0,,,345.275,,4.573,,3.757,,,,,9.002,3.757,2.399,,,,12.458,,122.136,0.0,,,,165.111,,,0.0,0.088,46.699,,1.077,,7.84,,,,0.0,,98.923,
Argentina,1968,15612.201,243886489600.0,360.844,1.48,23150579.0,33.269,110.684,9.142,,0.395,354.603,127.365,2.27,1.077,0.125,,5.396,0.102,939.742,,2.981,,0.9,,5.502,31.991,69.009,0.191,0.089,,4.781,-22.847,0.005,-58.152,2.389,0.0,2.876,1.043,1425.023,52.56,8.017,1.552,8.482,0.004,0.586,0.544,1.091,0.124,0.951,0.01,0.438,3.852,89.174,8360.335,1.554,,,0.535,0.359,2.367,,1.411,2.064,0.283,0.805,3.533,196.375,,0.044,89.392,294.982,1.382,0.395,9713.013,0.809,12.742,17.862,16.543,0.671,,,64.693,,296.797,2480.751,,,8799.413,5.835,2249.8,11.329,0.0,2.085,17.862,0.46,,,12841.15,15420.594,,11.141,4.429,,,0.0,11.812,,,,,,191.607,0.0,0.0,,0.0,,329.643,,,,0.0,,,,,,1.227,82.251,,,203.381,0.0,57.338,,3.227,,5.3,,191.607,0.671,,2.111,1.498,3.239,17.739,-0.221,3.384,,14.411,,,,0.0,1.227,6.062,0.0,,,356.416,,11.349,,4.429,,,,,9.556,4.429,17.862,,,,-2.823,,140.149,0.0,,,,191.607,,,0.0,0.671,52.0,,1.227,,7.619,,,,0.0,,98.773,
Argentina,1969,15887.447,264721498112.0,372.911,1.409,23508715.0,35.417,106.387,9.105,,0.477,357.193,95.084,2.577,0.879,0.123,,11.94,0.11,1000.315,,3.286,,0.892,,4.045,30.702,77.249,0.207,0.091,,4.525,-12.243,0.005,-24.042,1.629,0.0,2.832,1.04,1502.272,60.573,10.849,1.553,7.331,0.004,0.533,0.462,1.086,0.12,1.013,0.01,0.446,4.191,98.533,8455.419,1.541,,,0.561,0.366,2.59,,1.161,2.148,0.292,0.651,8.24,172.333,,0.047,98.497,285.759,1.306,0.387,9885.346,0.794,12.155,-10.311,8.686,-0.457,,,57.139,,308.011,2451.941,,,8971.598,0.215,2207.098,0.374,0.0,3.778,-10.311,0.281,,,13122.488,15718.227,,12.523,3.972,,,0.0,12.066,,,,,,169.222,0.0,0.0,,0.0,,388.64,,,,0.0,,,,,,1.065,82.597,,,210.582,0.0,57.552,,3.514,,-0.194,,169.222,-0.457,,2.446,1.343,3.521,7.201,1.503,3.344,,13.892,,,,0.0,1.065,11.214,0.0,,,368.939,,-0.374,,3.972,,,,,3.541,3.972,-10.311,,,,19.729,,149.993,0.0,,,,169.222,,,0.0,-0.457,51.805,,1.065,,9.122,,,,0.0,,98.935,
