country,year,co2,gdp,population,primary_energy_consumption,fossil_fuel_consumption,renewables_consumption,co2_lag1,co2_lag2,co2_lag3,co2_lag4,gdp_lag1,gdp_lag2,gdp_lag3,gdp_lag4,population_lag1,population_lag2,population_lag3,population_lag4,primary_energy_consumption_lag1,primary_energy_consumption_lag2,primary_energy_consumption_lag3,primary_energy_consumption_lag4,fossil_fuel_consumption_lag1,fossil_fuel_consumption_lag2,fossil_fuel_consumption_lag3,fossil_fuel_consumption_lag4,renewables_consumption_lag1,renewables_consumption_lag2,renewables_consumption_lag3,renewables_consumption_lag4
Argentina,1850,,2193400064.0,1088372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,1851,,,1115018.0,,,,,,,,2193400064.0,,,,1088372.0,,,,,,,,,,,,,,,
Argentina,1852,,,1138141.0,,,,,,,,,2193400064.0,,,1115018.0,1088372.0,,,,,,,,,,,,,,
Argentina,1853,,,1157536.0,,,,,,,,,,2193400064.0,,1138141.0,1115018.0,1088372.0,,,,,,,,,,,,,
Argentina,1854,,,1177263.0,,,,,,,,,,,2193400064.0,1157536.0,1138141.0,1115018.0,1088372.0,,,,,,,,,,,,
Argentina,1855,,,1197325.0,,,,,,,,,,,,1177263.0,1157536.0,1138141.0,1115018.0,,,,,,,,,,,,
Argentina,1856,0.017,,1217730.0,,,,,,,,,,,,1197325.0,1177263.0,1157536.0,1138141.0,,,,,,,,,,,,
Argentina,1857,0.041,,1238482.0,,,,0.017,,,,,,,,1217730.0,1197325.0,1177263.0,1157536.0,,,,,,,,,,,,
Argentina,1858,0.053,,1259588.0,,,,0.041,0.017,,,,,,,1238482.0,1217730.0,1197325.0,1177263.0,,,,,,,,,,,,
Argentina,1859,0.034,,1285058.0,,,,0.053,0.041,0.017,,,,,,1259588.0,1238482.0,1217730.0,1197325.0,,,,,,,,,,,,
Argentina,1860,0.042,,1315097.0,,,,0.034,0.053,0.041,0.017,,,,,1285058.0,1259588.0,1238482.0,1217730.0,,,,,,,,,,,,
Argentina,1861,0.05,,1349915.0,,,,0.042,0.034,0.053,0.041,,,,,1315097.0,1285058.0,1259588.0,1238482.0,,,,,,,,,,,,
Argentina,1862,0.041,,1389733.0,,,,0.05,0.042,0.034,0.053,,,,,1349915.0,1315097.0,1285058.0,1259588.0,,,,,,,,,,,,
Argentina,1863,0.061,,1434777.0,,,,0.041,0.05,0.042,0.034,,,,,1389733.0,1349915.0,1315097.0,1285058.0,,,,,,,,,,,,
Argentina,1864,0.052,,1481281.0,,,,0.061,0.041,0.05,0.042,,,,,1434777.0,1389733.0,1349915.0,1315097.0,,,,,,,,,,,,
