country,year,co2,gdp,population,primary_energy_consumption,fossil_fuel_consumption,renewables_consumption,co2_lag1,co2_lag2,co2_lag3,co2_lag4,gdp_lag1,gdp_lag2,gdp_lag3,gdp_lag4,population_lag1,population_lag2,population_lag3,population_lag4,primary_energy_consumption_lag1,primary_energy_consumption_lag2,primary_energy_consumption_lag3,primary_energy_consumption_lag4,fossil_fuel_consumption_lag1,fossil_fuel_consumption_lag2,fossil_fuel_consumption_lag3,fossil_fuel_consumption_lag4,renewables_consumption_lag1,renewables_consumption_lag2,renewables_consumption_lag3,renewables_consumption_lag4
Argentina,1960,48.764,182678470656.0,20386054.0,,,,48.949,44.193,47.608,44.297,169428729856.0,181174419456.0,170709729280.0,162343223296.0,20049605.0,19714264.0,19383045.0,19049972.0,,,,,,,,,,,,
Argentina,1961,51.127,195762241536.0,20726278.0,,,,48.764,48.949,44.193,47.608,182678470656.0,169428729856.0,181174419456.0,170709729280.0,20386054.0,20049605.0,19714264.0,19383045.0,,,,,,,,,,,,
Argentina,1962,53.64,192596967424.0,21072543.0,,,,51.127,48.764,48.949,44.193,195762241536.0,182678470656.0,169428729856.0,181174419456.0,20726278.0,20386054.0,20049605.0,19714264.0,,,,,,,,,,,,
Argentina,1963,50.033,187954610176.0,21421703.0,,,,53.64,51.127,48.764,48.949,192596967424.0,195762241536.0,182678470656.0,169428729856.0,21072543.0,20726278.0,20386054.0,20049605.0,,,,,,,,,,,,
Argentina,1964,55.67,207332556800.0,21769451.0,,,,50.033,53.64,51.127,48.764,187954610176.0,192596967424.0,195762241536.0,182678470656.0,21421703.0,21072543.0,20726278.0,20386054.0,,,,,,,,,,,,
Argentina,1965,58.805,226284879872.0,22112635.0,328.528,324.905,3.623,55.67,50.033,53.64,51.127,207332556800.0,187954610176.0,192596967424.0,195762241536.0,21769451.0,21421703.0,21072543.0,20726278.0,,,,,,,,,,,,
Argentina,1966,63.073,227834527744.0,22453898.0,339.175,335.505,3.669,58.805,55.67,50.033,53.64,226284879872.0,207332556800.0,187954610176.0,192596967424.0,22112635.0,21769451.0,21421703.0,21072543.0,328.528,,,,324.905,,,,3.623,,,
Argentina,1967,65.476,233929080832.0,22799062.0,349.032,345.275,3.757,63.073,58.805,55.67,50.033,227834527744.0,226284879872.0,207332556800.0,187954610176.0,22453898.0,22112635.0,21769451.0,21421703.0,339.175,328.528,,,335.505,324.905,,,3.669,3.623,,
Argentina,1968,69.009,243886489600.0,23150579.0,360.844,356.416,4.429,65.476,63.073,58.805,55.67,233929080832.0,227834527744.0,226284879872.0,207332556800.0,22799062.0,22453898.0,22112635.0,21769451.0,349.032,339.175,328.528,,345.275,335.505,324.905,,3.757,3.669,3.623,
Argentina,1969,77.249,264721498112.0,23508715.0,372.911,368.939,3.972,69.009,65.476,63.073,58.805,243886489600.0,233929080832.0,227834527744.0,226284879872.0,23150579.0,22799062.0,22453898.0,22112635.0,360.844,349.032,339.175,328.528,356.416,345.275,335.505,324.905,4.429,3.757,3.669,3.623
