,n_countries,avg_abs_correlation,max_abs_correlation,granger_significance_rate,avg_granger_pvalue,n_granger_significant,avg_mutual_info,max_mutual_info,common_best_lag
population,19.0,0.9245963963590943,0.9957002645117098,0.47368421052631576,0.12906514630794885,9.0,1.9039406111965609,2.413311243989004,4.0
energy_per_gdp,19.0,0.6967329007233204,0.9902825195953736,0.15789473684210525,0.29726250705274265,3.0,1.3257286802259285,2.0319209867366776,0.0
energy_per_capita,19.0,0.7595035947862215,0.9925350403065964,0.15789473684210525,0.28042245759996154,3.0,1.4210534909804469,2.3429910469446686,4.0
temperature_change_from_ghg,19.0,0.9684693757484347,0.9958951794650361,0.15789473684210525,0.6305272966798126,3.0,1.9553711133709681,2.33654605515485,0.0
land_use_change_co2_per_capita,19.0,0.6147489554633507,0.9428006497156667,0.3684210526315789,0.228965712637956,7.0,0.9843726146198233,1.6092835560461145,0.0
co2_per_capita,19.0,0.7662838907687274,0.9898392524708336,0.2631578947368421,0.275426163664278,5.0,1.265986677175808,2.306024708685227,4.0
share_global_cumulative_coal_co2,19.0,0.8963304854759762,0.9965002051062894,0.42105263157894735,0.16592189328513374,8.0,1.8930089677356048,2.5140706856967214,0.0
share_global_cumulative_cement_co2,19.0,0.9040848175307303,0.9954264704125265,0.5263157894736842,0.09412148002659557,10.0,1.8718399798933476,2.4783495581652493,0.0
co2_including_luc_per_capita,19.0,0.6687192566012685,0.9805971980497219,0.3157894736842105,0.2729872267699511,6.0,0.9568378920448767,2.011727052318605,0.0
share_global_flaring_co2,19.0,0.5679901700595472,0.9466710122230273,0.21052631578947367,0.2826080201635055,4.0,0.846045393820451,1.3484004909126255,0.0
co2_per_unit_energy,19.0,0.6446783906132673,0.9502759293121902,0.15789473684210525,0.475989153230255,3.0,0.9415560314881787,1.8752469136832943,0.0
land_use_change_co2,19.0,0.6081734127974648,0.9531205923699546,0.3684210526315789,0.21322937703058334,7.0,0.9251556083842598,1.7401289809387204,0.0
gas_co2,19.0,0.9386441415154839,0.9919517640403908,0.3684210526315789,0.2075513444327934,7.0,1.6199536110796926,2.325057400131712,0.0
share_global_co2,19.0,0.7881449184159205,0.9790011677601034,0.21052631578947367,0.19486531076383376,4.0,1.4704307208444423,2.1905553600262238,0.0
share_global_co2_including_luc,19.0,0.6598922229937406,0.9890357880480629,0.3157894736842105,0.22951624315882907,6.0,1.1020841990233954,2.0075846430037823,0.0
temperature_change_from_n2o,19.0,0.7476363118867159,0.9817656821737256,0.0,0.9993925873205763,0.0,0.8284241366709821,1.9215612315493362,4.0
nitrous_oxide_per_capita,19.0,0.7691140303031339,0.9565456818528062,0.3684210526315789,0.26145037374150365,7.0,1.197101336902035,1.6217919156162268,0.0
oil_co2_per_capita,19.0,0.6371562387224096,0.9725582774002886,0.15789473684210525,0.31036271812818633,3.0,0.9937507076617639,2.01518594974302,0.0
co2_growth_prct,19.0,0.324199730811399,0.6742974985821221,0.10526315789473684,0.3430532487117933,2.0,0.16597993525936444,0.5147357797491443,0.0
share_global_cement_co2,19.0,0.7866263524995685,0.9858314811150267,0.42105263157894735,0.17304040338848123,8.0,1.3333895024597788,1.8871121195040084,4.0
share_global_cumulative_gas_co2,19.0,0.9237934536884661,0.9947065265659808,0.3684210526315789,0.2585967814920353,7.0,1.8097869569013456,2.381448901350799,4.0
share_global_gas_co2,19.0,0.773669301839214,0.9776511750998444,0.3157894736842105,0.2845652436572573,6.0,1.240096277350841,1.8063002951677098,4.0
share_global_cumulative_oil_co2,19.0,0.8436415321543389,0.9849457836614696,0.3157894736842105,0.2971047271495911,6.0,1.6979370809697278,2.324784971411007,0.0
total_ghg_excluding_lucf,19.0,0.8855682561801761,0.9947263906375363,0.5263157894736842,0.13827412691749705,10.0,1.6798644664415263,2.49596723742086,4.0
co2_growth_abs,19.0,0.28152428062126855,0.8763532287064411,0.2631578947368421,0.20601019767533033,5.0,0.24092026242573278,0.7686421702650033,0.0
cumulative_coal_co2,19.0,0.9627425801441479,0.9983700476241424,0.5263157894736842,0.10503851438992137,10.0,2.0986679067425826,2.541369536271434,0.0
cement_co2_per_capita,19.0,0.670932172923279,0.9944408250616058,0.3157894736842105,0.20670563445079823,6.0,1.150141310821198,2.2979134234187697,0.0
cumulative_oil_co2,19.0,0.9755724045261666,0.9978750701731275,0.5263157894736842,0.08858688228519972,10.0,2.2009884629798777,2.5284385017886755,0.0
share_global_luc_co2,19.0,0.607601453309993,0.9593341431353537,0.42105263157894735,0.18209593217669112,8.0,0.8412331964097298,1.424231840731502,0.0
co2_including_luc_per_gdp,19.0,0.7838905604112885,0.9757333523978494,0.2631578947368421,0.2962557247700741,5.0,1.2979632838880244,2.2424573852041103,0.0
nitrous_oxide,19.0,0.7651396292833259,0.9878687938159667,0.42105263157894735,0.13044685262210884,8.0,1.2969153965784928,2.1081880147278436,0.0
co2_including_luc_per_unit_energy,19.0,0.6039557148559765,0.9387290213550801,0.21052631578947367,0.428438726158661,4.0,0.9711404106294372,1.8336159392936995,0.0
methane_per_capita,19.0,0.7367111132392712,0.9902555053263814,0.3684210526315789,0.24873608958557705,7.0,1.277718991750484,2.110313284094492,0.0
cumulative_luc_co2,19.0,0.8880000232490023,0.9911561575764815,0.3684210526315789,0.1930011766257781,7.0,1.7619689165249501,2.2907469309074493,4.0
co2_including_luc_growth_prct,19.0,0.15011773711073234,0.5865303434327889,0.3684210526315789,0.3896649389911885,7.0,0.1609799958155006,0.3890574409188292,0.0
co2_including_luc_growth_abs,19.0,0.13020815508263062,0.42494336760251333,0.3157894736842105,0.26597598547228146,6.0,0.1783775266636155,0.45222873325041757,0.0
ghg_excluding_lucf_per_capita,19.0,0.7643255403197117,0.9886103307752657,0.2631578947368421,0.22725381606039985,5.0,1.3304087557089623,2.3097802443373148,4.0
share_global_oil_co2,19.0,0.8096786860037654,0.9728604756797135,0.21052631578947367,0.25418449798852033,4.0,1.295155717865069,2.109608993456124,0.0
flaring_co2,19.0,0.5537932049216052,0.9703209017691071,0.3684210526315789,0.271601037894663,7.0,0.8967205564558142,1.447404657899862,0.0
coal_co2,19.0,0.8731418248708122,0.9972055305094066,0.42105263157894735,0.23039056966764948,8.0,1.4536447982384415,2.390179060080958,4.0
temperature_change_from_ch4,19.0,0.7819960101441055,0.9812786027281448,0.0,0.9960505728535638,0.0,1.137839719343309,2.1342283945080815,0.0
cumulative_flaring_co2,19.0,0.904502733874545,0.9967050322800528,0.5789473684210527,0.11225592236471628,11.0,1.675925082548829,2.244139228265264,0.0
flaring_co2_per_capita,19.0,0.5570216923928406,0.9583523917060778,0.2631578947368421,0.3795644927913461,5.0,0.8743928720690609,1.310932326792776,0.0
cumulative_co2,19.0,0.9784849647113834,0.9980302992250337,0.7894736842105263,0.03723576601218262,15.0,2.2198504103757526,2.5284385017886755,0.0
share_global_cumulative_luc_co2,19.0,0.7891566299068117,0.9868535647482309,0.42105263157894735,0.1385594190755575,8.0,1.6089057164958345,2.301235436654576,4.0
cement_co2,19.0,0.7939063786524941,0.9980908223502335,0.47368421052631576,0.15154996287091832,9.0,1.358274207769572,2.315642437699508,0.0
coal_co2_per_capita,19.0,0.786373819991036,0.9941792385637753,0.3157894736842105,0.2671280250555683,6.0,1.2410934812970382,2.1845345609019757,4.0
ghg_per_capita,19.0,0.6718715299361545,0.9884776418967628,0.3684210526315789,0.22939307035777687,7.0,1.0223424710825686,2.0703222406551727,0.0
share_of_temperature_change_from_ghg,19.0,0.9611860671670212,0.9992470617106123,0.5263157894736842,0.139080707300227,10.0,1.9428522848168202,2.469037844974226,0.0
share_global_cumulative_flaring_co2,19.0,0.7228917250487749,0.9884644121308065,0.2631578947368421,0.3166638424082123,5.0,1.2568528597673208,1.937292137060474,4.0
share_global_cumulative_co2,19.0,0.9102127565883725,0.9985601492501542,0.47368421052631576,0.10685581473852608,9.0,1.9434369433045753,2.479259519851073,4.0
share_global_cumulative_co2_including_luc,19.0,0.8269268466523743,0.998084768800457,0.5263157894736842,0.20920331215490043,10.0,1.759042731730903,2.4058530412721804,0.0
share_global_coal_co2,19.0,0.7175337870822389,0.9886070651493611,0.3684210526315789,0.2518863873481103,7.0,1.237335850229116,2.019091766148836,0.0
temperature_change_from_co2,19.0,0.9733082072492834,0.9961377117539795,0.05263157894736842,0.8229638636194835,1.0,1.9098902237408042,2.3838982719036177,0.0
total_ghg,19.0,0.8511908543817577,0.9948712124757978,0.631578947368421,0.16575873746065428,12.0,1.4152467951932233,2.2777201109840783,4.0
cumulative_co2_including_luc,19.0,0.9760000948887387,0.9975915839624426,0.7894736842105263,0.039751778182505276,15.0,2.181165025887283,2.504998436107231,0.0
co2_including_luc,19.0,0.7804267174514766,0.9941833978844391,0.5263157894736842,0.19091226003039272,10.0,1.1592888435705695,2.140185279914764,4.0
co2_per_gdp,19.0,0.8117197692171435,0.9820174415054053,0.15789473684210525,0.3034797972110688,3.0,1.336524765268292,2.2257907185374437,0.0
cumulative_cement_co2,19.0,0.9781162206542663,0.9985420607073052,0.5789473684210527,0.10024501526761619,11.0,2.182841221240377,2.517231605236951,0.0
gas_co2_per_capita,19.0,0.8562425718490647,0.9839623119889135,0.2631578947368421,0.2620239938477462,5.0,1.4492009872596798,1.908972855028404,4.0
cumulative_gas_co2,19.0,0.9614027777505129,0.9965277859026963,0.5789473684210527,0.08316742940311787,11.0,1.9704303149969729,2.3766733129545212,0.0
methane,19.0,0.8547124737091888,0.98649902876765,0.3684210526315789,0.1456881141137347,7.0,1.4843349248855076,2.2156436816662692,4.0
oil_co2,19.0,0.7644120860831026,0.9846248968476414,0.15789473684210525,0.2622522473713869,3.0,1.228046608618319,2.2952009538959546,0.0
other_renewables_cons_change_twh,19.0,0.40110339052338856,0.8984484206862158,0.2631578947368421,0.3081509674216428,5.0,0.41042993881781986,1.0554348355723093,0.0
wind_elec_per_capita,19.0,0.7365937781470743,0.9672401822101222,0.47368421052631576,0.1053911405376497,9.0,0.7448305698217363,1.5224231946586366,0.0
oil_share_energy,19.0,0.6675581688269473,0.9244454906208085,0.15789473684210525,0.3326498468043227,3.0,1.037615514332754,1.5060678945620636,0.0
fossil_energy_per_capita,19.0,0.812922510885184,0.9849714132649067,0.21052631578947367,0.19820945991859965,4.0,1.287531135335213,2.305025803375977,4.0
per_capita_electricity,19.0,0.7899610010350725,0.9974294809215625,0.3684210526315789,0.23066800488598932,7.0,1.3010765387171381,2.166937101014649,0.0
energy_cons_change_twh,19.0,0.3233257655393104,0.8722282581878488,0.3157894736842105,0.19444417352996168,6.0,0.24560806187700326,0.7869911616468688,0.0
oil_consumption,19.0,0.7676668375362321,0.9948245351747976,0.2631578947368421,0.21979551956019883,5.0,1.355647230886252,2.3798479161291244,0.0
coal_elec_per_capita,19.0,0.741036123785593,0.9933154421706579,0.42105263157894735,0.23945964026070543,8.0,1.0477129815308457,2.0390235671800614,0.0
renewables_elec_per_capita,19.0,0.7151586925553353,0.9837106806202411,0.3684210526315789,0.2308237548244473,7.0,0.792061499741157,2.1200783692703293,0.0
renewables_cons_change_pct,19.0,0.10323600977384405,0.48200180131885534,0.10526315789473684,0.4546356179623636,2.0,0.14832036557125616,0.3577248124471222,0.0
fossil_share_energy,19.0,0.6187118546679347,0.9828937015909035,0.2631578947368421,0.2513326151531951,5.0,0.8726698545268119,1.9427223501242477,0.0
coal_prod_per_capita,19.0,0.7308198012988777,0.9818425836216169,0.3684210526315789,0.22691986364882968,7.0,1.187955289731549,2.0575734402669204,4.0
hydro_cons_change_twh,19.0,0.058934042949270425,0.5151962682508756,0.2631578947368421,0.3133420095856901,5.0,0.1701768011860819,0.5989764264398691,0.0
renewables_electricity,19.0,0.8199288107305722,0.9860506522243171,0.42105263157894735,0.22527122089626275,8.0,1.005988452678084,2.1397734711769694,0.0
gas_electricity,19.0,0.8944488425458061,0.9847099752024627,0.3684210526315789,0.19500327339780368,7.0,1.1682776800119261,1.7298861402794783,0.0
hydro_energy_per_capita,19.0,0.5008595487226618,0.9952098117945049,0.15789473684210525,0.3627993178912059,3.0,0.6467015317780616,2.140158534629398,0.0
electricity_generation,19.0,0.9407450231088699,0.9978739860543195,0.42105263157894735,0.2037755791105372,8.0,1.5062491807658682,2.184480960663772,0.0
other_renewable_electricity,19.0,0.851218740774908,0.9747751847913636,0.5263157894736842,0.11566394535226193,10.0,1.139832472838322,1.7735725800714464,0.0
gas_prod_change_twh,19.0,0.29053992141909907,0.8821433260620641,0.2631578947368421,0.2325390162291939,5.0,0.3045053323355729,1.0392591883980025,0.0
gas_prod_change_pct,19.0,0.2558573083097895,0.6205980141336734,0.10526315789473684,0.4917893686431982,2.0,0.21097110001249486,0.37583986600438957,0.0
fossil_share_elec,19.0,0.599487601371269,0.8778107554201937,0.3157894736842105,0.20417519139746643,6.0,0.6176970417048808,1.0962393046589574,0.0
gas_cons_change_pct,19.0,0.27920592436786595,0.5892055353155174,0.05263157894736842,0.4906004733968143,1.0,0.20415692494243545,0.43410650161853814,0.0
oil_cons_change_pct,19.0,0.3770759372898315,0.6764093231271001,0.0,0.32038429064305773,0.0,0.2410019360869334,0.5548477909543013,2.0
low_carbon_elec_per_capita,19.0,0.7820652784723765,0.9828579067341097,0.47368421052631576,0.17372791235146773,9.0,1.021577650276532,2.11394596001292,0.0
fossil_cons_change_pct,19.0,0.3490545274305935,0.6647246142855359,0.0,0.3256646884578721,0.0,0.17614149508161936,0.5560302353481892,2.0
hydro_elec_per_capita,19.0,0.5461661051069536,0.9947124716465647,0.15789473684210525,0.35352485185120824,3.0,0.6481208233446306,2.1586109155817788,0.0
coal_cons_change_twh,19.0,0.18412521490461745,0.7607280686384194,0.21052631578947367,0.2696036757610006,4.0,0.2181035025744831,0.5000293530535629,0.0
gas_consumption,19.0,0.943342675385846,0.9866886893464433,0.47368421052631576,0.1680165384677288,9.0,1.6668142022940273,2.1374821401426587,0.0
low_carbon_share_elec,19.0,0.6442636345190793,0.9152463457651365,0.3684210526315789,0.17126619366161228,7.0,0.627751428328689,1.2136062460021166,0.0
electricity_share_energy,19.0,0.868804908591341,0.9821997534005535,0.21052631578947367,0.2068087215553311,4.0,1.0764697863739214,1.8220948818303242,0.0
gas_production,19.0,0.7863862541166419,0.9926767708826065,0.47368421052631576,0.13877739196311167,9.0,1.3064463577586498,2.1506447916673794,4.0
other_renewable_consumption,19.0,0.8464323539142157,0.9712869384957545,0.47368421052631576,0.15870796414025096,9.0,1.1387737288520339,1.846036138881354,0.0
solar_elec_per_capita,19.0,0.636270401268829,0.8738436390373465,0.5789473684210527,0.11680647055002287,11.0,0.4423950053642044,0.9292140210490976,0.0
wind_share_energy,19.0,0.7347606310911086,0.9829465907198086,0.3684210526315789,0.14744110908332722,7.0,0.7662615499128648,1.4887771860126275,0.0
nuclear_cons_change_twh,19.0,0.148256516673328,0.8589368980296141,0.21052631578947367,0.3355548434297388,4.0,0.21640730743558748,0.5993562010565767,0.0
other_renewables_share_energy,19.0,0.8233749490547683,0.9744167690140182,0.47368421052631576,0.18740284480938946,9.0,1.0616188249307963,1.5721275389754885,0.0
oil_share_elec,19.0,0.6098117497390677,0.9816455094126819,0.21052631578947367,0.2587045490274719,4.0,0.7753442076814381,1.4466467919085502,0.0
renewables_share_energy,19.0,0.543574933852093,0.9797650856906467,0.21052631578947367,0.2766540452071884,4.0,0.6676747982263135,1.4510180773854922,0.0
coal_cons_change_pct,19.0,0.20461243923904698,0.7005549445364867,0.05263157894736842,0.32220203943132786,1.0,0.08000343350875154,0.29711663321190596,0.0
oil_elec_per_capita,19.0,0.6572107397759925,0.8861244328453353,0.21052631578947367,0.27317990911173,4.0,0.7586069291109311,1.2313848055786565,0.0
hydro_share_energy,19.0,0.5107286375341414,0.9448079679861217,0.15789473684210525,0.3735763947343821,3.0,0.6401722742587599,1.2075174907630535,0.0
wind_consumption,19.0,0.7426312413344951,0.9629614589904163,0.47368421052631576,0.10359660907158738,9.0,0.7423426002025072,1.532641804877247,0.0
wind_energy_per_capita,19.0,0.7477812893942096,0.9703761067453439,0.5263157894736842,0.10142399702120414,10.0,0.7570068701331045,1.5323200545554967,0.0
coal_electricity,19.0,0.7779671988166349,0.997136479179905,0.42105263157894735,0.24466717142011682,8.0,1.0942530121255514,2.0972002589093854,0.0
low_carbon_share_energy,19.0,0.6187118546679283,0.9828937015909034,0.3157894736842105,0.2136080250175032,6.0,0.8726941977447069,1.9427223501242477,0.0
nuclear_share_elec,19.0,0.45643373911480695,0.9406876995563006,0.05263157894736842,0.31822770181932647,1.0,0.645463462730928,1.4502264724619152,0.0
renewables_share_elec,19.0,0.5953443397586506,0.9262925866113456,0.21052631578947367,0.2772295917292542,4.0,0.6226436105502715,1.51640664425706,0.0
other_renewables_elec_per_capita,19.0,0.8365809480987423,0.9738569500919072,0.47368421052631576,0.13125284223724884,9.0,1.1095279040606145,1.6777701758842736,0.0
other_renewables_energy_per_capita,19.0,0.8316833481136738,0.9737767478463766,0.47368421052631576,0.177781424526129,9.0,1.1043910665049907,1.6885590385496847,0.0
fossil_electricity,19.0,0.8096579301837019,0.9942134724311423,0.5263157894736842,0.13900792224072245,10.0,1.2472456998347574,2.103967176202618,0.0
solar_electricity,19.0,0.6330099773469371,0.8716021803172279,0.5789473684210527,0.1150968636550991,11.0,0.4349243687152939,0.9340349576882157,0.0
coal_share_elec,19.0,0.6123804454856163,0.9621760681262498,0.2631578947368421,0.25675747380190495,5.0,0.8337612983259016,1.3724642385657801,0.0
hydro_share_elec,19.0,0.6244476143743928,0.9145143389129061,0.05263157894736842,0.4048309652027349,1.0,0.5551146366507551,1.0386223601999074,0.0
wind_electricity,19.0,0.7310761943233306,0.9592449469294068,0.5263157894736842,0.10631683282217635,10.0,0.7298981828579589,1.5050486772841196,0.0
solar_cons_change_twh,19.0,0.5839776697414457,0.8248209666699121,0.631578947368421,0.11711880674980236,12.0,0.3731769736629725,0.7302017879925711,0.0
nuclear_elec_per_capita,19.0,0.6320385628223966,0.9746938925708089,0.3157894736842105,0.20669112893746905,6.0,1.1480589982205194,1.6645437209440974,4.0
nuclear_share_energy,19.0,0.5489916743030219,0.9751705061923286,0.3684210526315789,0.2006882860755567,7.0,0.9668008516523345,1.5795460364435037,4.0
solar_energy_per_capita,19.0,0.6395984898134612,0.8770193393411421,0.631578947368421,0.11349070277308276,12.0,0.45915364779423634,0.928409927481846,0.0
fossil_fuel_consumption,19.0,0.8574988236240052,0.9939283448788144,0.5263157894736842,0.17635908189748162,10.0,1.5918522224160143,2.475564938570285,4.0
low_carbon_consumption,19.0,0.8918604159849194,0.9883397831688845,0.5263157894736842,0.13752489946643826,10.0,1.447402025730877,2.2580480206223323,4.0
oil_prod_change_twh,19.0,0.22979171965278786,0.5759191225977021,0.2631578947368421,0.26477866674884726,5.0,0.25566804722742414,0.5141058550131645,0.0
fossil_cons_change_twh,19.0,0.3217338069439475,0.8477465470305631,0.3157894736842105,0.1951894698287637,6.0,0.25053639364986824,0.6672151869120189,2.0
coal_consumption,19.0,0.8425362568929438,0.996078952250426,0.3684210526315789,0.20991677177046236,7.0,1.4534221449196796,2.3720140354504164,4.0
wind_cons_change_twh,19.0,0.5868142318399351,0.9064505639872213,0.631578947368421,0.08974680069503903,12.0,0.44634242562877297,0.8476294183579915,0.0
oil_production,19.0,0.5545484512113648,0.9725182585716282,0.3157894736842105,0.24525376659819095,6.0,1.0865307700895295,1.8442754285535943,4.0
gas_prod_per_capita,19.0,0.7419469772559588,0.9917828645373485,0.3684210526315789,0.16750712716083282,7.0,1.2487862705043196,2.141149210620074,4.0
oil_cons_change_twh,19.0,0.26942832419122054,0.715714408386076,0.21052631578947367,0.22828156872874372,4.0,0.2414307811428153,0.40833476374438504,0.0
coal_prod_change_twh,19.0,0.2451538553749894,0.7042204654111961,0.15789473684210525,0.3446927361704605,3.0,0.2575808438143941,0.8463143802741189,0.0
wind_share_elec,19.0,0.7594824562858711,0.9889702855319811,0.42105263157894735,0.1635568424448155,8.0,0.8080255895132007,1.7069544666899088,0.0
energy_cons_change_pct,19.0,0.38561935017180593,0.6985688222163374,0.05263157894736842,0.3421274119491938,1.0,0.20289887771817952,0.5613641171644179,2.0
low_carbon_cons_change_twh,19.0,0.21939722999638553,0.9104995710783849,0.42105263157894735,0.2420484096979898,8.0,0.25713230699603556,0.8070751567761068,0.0
nuclear_energy_per_capita,19.0,0.6132249762604454,0.965875359284329,0.42105263157894735,0.2029659423777998,8.0,1.1686815361391802,1.6114306223568606,4.0
renewables_consumption,19.0,0.8016358421094266,0.9844337017735434,0.42105263157894735,0.22448400808886823,8.0,1.158535445508968,2.2664572359280992,0.0
