country,model_type,data_type,rmse,mase,n_predictions
United States,loco,actual,284.84148039142156,1.2936072162512686,9
United States,single,actual,324.5744757405455,1.3820570189499992,9
Japan,loco,actual,194.13664072128955,4.686779889009674,9
Japan,single,actual,132.8199404748432,2.7999061905267197,9
Germany,loco,actual,51.1371109431122,1.3903113158704155,9
Germany,single,actual,49.049355403529404,1.108314558115457,9
United Kingdom,loco,actual,32.76479091153328,1.1744830249409803,9
United Kingdom,single,actual,38.706036452894374,1.682658392558848,9
France,loco,actual,29.8927779507384,1.6514649948554865,9
France,single,actual,20.03820565588124,1.0142518205987405,9
Italy,loco,actual,48.43732726380785,2.535437562621645,9
Italy,single,actual,20.588069738296547,0.9751884720777589,9
Canada,loco,actual,23.10040439764265,1.091689977321333,9
Canada,single,actual,30.178772126839107,1.5027123936711917,9
Australia,loco,actual,33.662854418465834,4.781111141235026,9
Australia,single,actual,28.793296725573622,3.9201582746085153,9
South Korea,loco,actual,82.03841971046734,2.7739876175121747,9
South Korea,single,actual,62.46838811301048,2.2592384110402652,9
