country,model_type,data_type,rmse,mase,n_predictions
United States,loco,actual,469092492111.69147,0.7578804467082644,9
United States,single,actual,769874779027.6267,1.4078751373030343,9
Japan,loco,actual,398888611216.3482,3.9160567206710475,9
Japan,single,actual,173149878701.49762,1.9494253323418398,9
Germany,loco,actual,228676668403.07806,2.264160829073261,9
Germany,single,actual,180483203183.80072,1.8209589832024327,9
United Kingdom,loco,actual,125707831213.70068,0.9672398217078138,9
United Kingdom,single,actual,153798893990.9051,0.9050643988603688,9
France,loco,actual,118236082236.80185,1.09467846920461,9
France,single,actual,129550010127.96112,1.2350522830609307,9
Italy,loco,actual,96303456929.55855,1.0800963560609322,9
Italy,single,actual,132091822500.17989,1.6612120877754768,9
Canada,loco,actual,64262625746.59866,0.9378859762096103,9
Canada,single,actual,117360300100.52032,2.1516769838483207,9
Australia,loco,actual,95257619953.00708,2.43592884709008,9
Australia,single,actual,58296291300.06893,1.5618674272734256,9
South Korea,loco,actual,195901014453.55627,3.076767712240979,9
South Korea,single,actual,223803640607.4454,3.926963438205321,9
