country,model_type,data_type,rmse,mase,n_predictions
China,loco,actual,1254.0257509236194,3.704637609826116,9
China,single,actual,605.2141142058217,1.606505787725196,9
Brazil,loco,actual,84.22461006972213,3.586966375503727,9
Brazil,single,actual,78.36029710607207,3.128194623742599,9
Russia,loco,actual,35.04094092224688,0.6307324906033527,9
Russia,single,actual,98.58919739319231,1.6697720200675887,9
India,loco,actual,209.233597553925,1.0235867822944644,9
India,single,actual,189.75616910513153,0.884774835971613,9
Mexico,loco,actual,32.21053498525295,1.9251326528924382,9
Mexico,single,actual,35.2615746546846,1.621350609807894,9
Indonesia,loco,actual,120.93149659719343,2.3471567644762885,9
Indonesia,single,actual,90.9528684358313,2.238575081958366,9
Turkey,loco,actual,56.308894532226574,2.763423731198207,9
Turkey,single,actual,38.963046286630565,1.8237996593627277,9
Saudi Arabia,loco,actual,2001.6356533860292,41.0986420786919,9
Saudi Arabia,single,actual,240.82786534966775,6.449103604994853,9
South Africa,loco,actual,30.311250520943688,1.585459242129316,9
South Africa,single,actual,23.139413614609282,1.3129270949954719,9
Argentina,loco,actual,22.077376030605567,1.909282513481426,9
Argentina,single,actual,19.505152179515353,1.4533200385128302,9
