iteration,time_step,prediction,actual,error,rmse,mase
0,5,4435209600000.0,4438753280000.0,-3543662592.0,84220928848.42201,0.18871292609791115
0,6,4752627000000.0,4810000039936.0,-57372835840.0,84220928848.42201,0.18871292609791115
0,7,4993517600000.0,5127589593088.0,-134071975936.0,84220928848.42201,0.18871292609791115
1,6,4663162000000.0,4810000039936.0,-146837864448.0,119696488862.68793,0.4373029860077858
1,7,4983319700000.0,5127589593088.0,-144269901824.0,119696488862.68793,0.4373029860077858
1,8,5266710500000.0,5291339415552.0,-24628953088.0,119696488862.68793,0.4373029860077858
2,7,4895333700000.0,5127589593088.0,-232255913984.0,183633544945.61566,1.6161294568464761
2,8,5215429300000.0,5291339415552.0,-75910086656.0,183633544945.61566,1.6161294568464761
2,9,5542317000000.0,5338703069184.0,203614060544.0,183633544945.61566,1.6161294568464761
3,8,5124856000000.0,5291339415552.0,-166483460096.0,179227579488.31152,1.2045122729759616
3,9,5457548000000.0,5338703069184.0,118845079552.0,179227579488.31152,1.2045122729759616
3,10,5812012400000.0,5578502963200.0,233509486592.0,179227579488.31152,1.2045122729759616
4,9,5359096300000.0,5338703069184.0,20393230336.0,111918929551.08453,0.31814412935828934
4,10,5713363500000.0,5578502963200.0,134860505088.0,111918929551.08453,0.31814412935828934
4,11,6090430000000.0,5952682590208.0,137747234816.0,111918929551.08453,0.31814412935828934
5,10,5614532000000.0,5578502963200.0,36029071360.0,47245819723.45905,0.12070493681893492
5,11,5988540000000.0,5952682590208.0,35857629184.0,47245819723.45905,0.12070493681893492
5,12,6393867300000.0,6329737412608.0,64129859584.0,47245819723.45905,0.12070493681893492
6,11,5969001600000.0,5952682590208.0,16318988288.0,12164559928.249338,0.024647346086911378
6,12,6342839400000.0,6329737412608.0,13101957120.0,12164559928.249338,0.024647346086911378
6,13,6812052500000.0,6814493573120.0,-2441084928.0,12164559928.249338,0.024647346086911378
7,12,6342084400000.0,6329737412608.0,12346982400.0,52143506307.616165,0.07685185819150887
7,13,6725125500000.0,6814493573120.0,-89368035328.0,52143506307.616165,0.07685185819150887
7,14,7252835600000.0,7248623435776.0,4212129792.0,52143506307.616165,0.07685185819150887
8,13,6838035700000.0,6814493573120.0,23542104064.0,19231842557.040386,0.03237561657218105
8,14,7250998000000.0,7248623435776.0,2374500352.0,19231842557.040386,0.03237561657218105
8,15,7854399400000.0,7830953263104.0,23446159360.0,19231842557.040386,0.03237561657218105
9,14,7313959700000.0,7248623435776.0,65336246272.0,79758280832.96169,0.10889947285352436
9,15,7872399000000.0,7830953263104.0,41445490688.0,79758280832.96169,0.10889947285352436
9,16,8488495000000.0,8602939555840.0,-114444730368.0,79758280832.96169,0.10889947285352436
10,15,7818244000000.0,7830953263104.0,-12709265408.0,182710380014.34143,0.1467618773661745
10,16,8564369000000.0,8602939555840.0,-38570295296.0,182710380014.34143,0.1467618773661745
10,17,9175696000000.0,9489543593984.0,-313847185408.0,182710380014.34143,0.1467618773661745
11,16,8588720000000.0,8602939555840.0,-14219739136.0,203658017027.64066,0.18463885126170945
