iteration,time_step,prediction,actual,error,rmse,mase
0,5,1.8204298e+21,4438753280000.0,1.8204298372882062e+21,2.4805153861328186e+21,7075047846.241872
0,6,2.550742e+21,4810000039936.0,2.5507419967406604e+21,2.4805153861328186e+21,7075047846.241872
0,7,2.939153e+21,5127589593088.0,2.9391529759608023e+21,2.4805153861328186e+21,7075047846.241872
1,6,1.8473006e+21,4810000039936.0,1.8473005640936655e+21,2.5176774742131233e+21,10276450642.844507
1,7,2.5889446e+21,5127589593088.0,2.588944624687171e+21,2.5176774742131233e+21,10276450642.844507
1,8,2.9834453e+21,5291339415552.0,2.983445315182288e+21,2.5176774742131233e+21,10276450642.844507
2,7,1.8721372e+21,5127589593088.0,1.8721372120335825e+21,2.552194248415907e+21,23750969441.74805
2,8,2.6244254e+21,5291339415552.0,2.62442538976273e+21,2.552194248415907e+21,23750969441.74805
2,9,3.024662e+21,5338703069184.0,3.0246619774496423e+21,2.552194248415907e+21,23750969441.74805
3,8,1.8946793e+21,5291339415552.0,1.894679276117194e+21,2.5836691334692403e+21,17675805016.65459
3,9,2.6567798e+21,5338703069184.0,2.656779812388349e+21,2.5836691334692403e+21,17675805016.65459
3,10,3.0623112e+21,5578502963200.0,3.0623112256697296e+21,2.5836691334692403e+21,17675805016.65459
4,9,1.9152389e+21,5338703069184.0,1.9152389120562184e+21,2.612366311372805e+21,8358748958.413358
4,10,2.686277e+21,5578502963200.0,2.6862769823329425e+21,2.612366311372805e+21,8358748958.413358
4,11,3.096635e+21,5952682590208.0,3.0966351283805775e+21,2.612366311372805e+21,8358748958.413358
5,10,1.934221e+21,5578502963200.0,1.9342210212958317e+21,2.6387372815789646e+21,6900398432.196246
5,11,2.713382e+21,5952682590208.0,2.713381896316092e+21,2.6387372815789646e+21,6900398432.196246
5,12,3.1281226e+21,6329737412608.0,3.128122607748237e+21,2.6387372815789646e+21,6900398432.196246
6,11,1.9519552e+21,5952682590208.0,1.9519552110918186e+21,2.6632744280712875e+21,6070885179.133323
6,12,2.738604e+21,6329737412608.0,2.738604024177149e+21,2.6632744280712875e+21,6070885179.133323
6,13,3.157374e+21,6814493573120.0,3.1573740497932056e+21,2.6632744280712875e+21,6070885179.133323
7,12,1.968778e+21,6329737412608.0,1.9687779849103412e+21,2.6864915328871605e+21,5743384065.76383
7,13,2.7624717e+21,6814493573120.0,2.762471694342573e+21,2.6864915328871605e+21,5743384065.76383
7,14,3.1850233e+21,7248623435776.0,3.1850233363213635e+21,2.6864915328871605e+21,5743384065.76383
8,13,1.9849044e+21,6814493573120.0,1.9849043895287803e+21,2.708708723834742e+21,5234954498.260771
8,14,2.7853123e+21,7248623435776.0,2.785312262368606e+21,2.708708723834742e+21,5234954498.260771
8,15,3.2114637e+21,7830953263104.0,3.211463687676349e+21,2.708708723834742e+21,5234954498.260771
9,14,2.0003882e+21,7248623435776.0,2.0003881868260152e+21,2.730033682024422e+21,3959913932.427132
9,15,2.807236e+21,7830953263104.0,2.8072360662472925e+21,2.730033682024422e+21,3959913932.427132
9,16,3.2368387e+21,8602939555840.0,3.2368386560548285e+21,2.730033682024422e+21,3959913932.427132
10,15,2.0152457e+21,7830953263104.0,2.015245702151869e+21,2.750508434702372e+21,3257681655.98888
10,16,2.8282856e+21,8602939555840.0,2.828285608658659e+21,2.750508434702372e+21,3257681655.98888
10,17,3.2612076e+21,9489543593984.0,3.261207632751926e+21,2.750508434702372e+21,3257681655.98888
11,16,2.0295099e+21,8602939555840.0,2.0295098680371603e+21,2.7701683923566807e+21,3100237975.7101417
11,17,2.848497e+21,9489543593984.0,2.848496918474764e+21,2.7701683923566807e+21,3100237975.7101417
11,18,3.2846086e+21,10358205972480.0,3.2846086170220576e+21,2.7701683923566807e+21,3100237975.7101417
12,17,2.0432146e+21,9489543593984.0,2.0432146022916214e+21,2.7890492429579694e+21,4183553979.7811346
12,18,2.8679074e+21,10358205972480.0,2.867907432000068e+21,2.7890492429579694e+21,4183553979.7811346
12,19,3.3070785e+21,10799147909120.0,3.3070784824969506e+21,2.7890492429579694e+21,4183553979.7811346
13,18,2.056409e+21,10358205972480.0,2.0564090224312477e+21,2.8072205938936696e+21,4541129132.920857
13,19,2.8865895e+21,10799147909120.0,2.886589488713366e+21,2.8072205938936696e+21,4541129132.920857
13,20,3.3287003e+21,11572544012288.0,3.3287002635345603e+21,2.8072205938936696e+21,4541129132.920857
14,19,2.0692171e+21,10799147909120.0,2.069217118593059e+21,2.824838900329434e+21,2694157962.5876083
14,20,2.9047038e+21,11572544012288.0,2.904703810066184e+21,2.824838900329434e+21,2694157962.5876083
14,21,3.3496538e+21,12858808074240.0,3.349653822464591e+21,2.824838900329434e+21,2694157962.5876083
15,20,2.0818303e+21,11572544012288.0,2.0818302930010442e+21,2.8421368597116653e+21,2634760986.1499834
15,21,2.9224888e+21,12858808074240.0,2.922488805183383e+21,2.8421368597116653e+21,2634760986.1499834
15,22,3.370203e+21,13691527364608.0,3.370202902306633e+21,2.8421368597116653e+21,2634760986.1499834
16,21,2.094463e+21,12858808074240.0,2.0944630294070428e+21,2.859392139721226e+21,2934108171.14846
16,22,2.9402305e+21,13691527364608.0,2.940230453607713e+21,2.859392139721226e+21,2934108171.14846
16,23,3.3906695e+21,14773157625856.0,3.390669509731588e+21,2.859392139721226e+21,2934108171.14846
17,22,2.1072759e+21,13691527364608.0,2.107275910251681e+21,2.876837597610784e+21,2529698770.28135
17,23,2.9581691e+21,14773157625856.0,2.9581691342668295e+21,2.876837597610784e+21,2529698770.28135
17,24,3.411335e+21,15925464006656.0,3.411335119894401e+21,2.876837597610784e+21,2529698770.28135
18,23,2.1203213e+21,14773157625856.0,2.120321289178171e+21,2.8945907109182277e+21,2439546274.818729
18,24,2.9764256e+21,15925464006656.0,2.9764256001039763e+21,2.8945907109182277e+21,2439546274.818729
18,25,3.43236e+21,17103948087296.0,3.4323598921013196e+21,2.8945907109182277e+21,2439546274.818729
19,24,2.1336817e+21,15925464006656.0,2.1336816385329243e+21,2.912774724413447e+21,2408408306.0518126
19,25,2.9951254e+21,17103948087296.0,2.9951253890032646e+21,2.912774724413447e+21,2408408306.0518126
19,26,3.4538958e+21,18301224747008.0,3.453895822847152e+21,2.912774724413447e+21,2408408306.0518126
20,25,2.1474497e+21,17103948087296.0,2.1474497043652653e+21,2.9314826686608604e+21,2358365417.021433
20,26,3.0143625e+21,18301224747008.0,3.014362513614301e+21,2.9314826686608604e+21,2358365417.021433
20,27,3.4760395e+21,19545710395392.0,3.4760394580204936e+21,2.9314826686608604e+21,2358365417.021433
21,26,2.1615488e+21,18301224747008.0,2.1615487847514254e+21,2.950643674118503e+21,2235215178.175216
21,27,3.0340663e+21,19545710395392.0,3.0340663236895147e+21,2.950643674118503e+21,2235215178.175216
