iteration,time_step,prediction,actual,error,rmse,mase,adjusted_prediction,adjusted_error,rmse_adjusted
0,5,4489856700000.0,4438753280000.0,51103399936.0,131586187660.46912,0.3533059177435899,4464304921479.549,25551641479.54883,65793024209.22707
0,6,4648002400000.0,4810000039936.0,-161997651968.0,131586187660.46912,0.3533059177435899,4729001284151.572,-80998755784.42773,65793024209.22707
0,7,4975635700000.0,5127589593088.0,-151953866752.0,131586187660.46912,0.3533059177435899,5051612746069.5625,-75976847018.4375,65793024209.22707
1,8,5259658300000.0,5291339415552.0,-31681150976.0,85816550731.99724,0.4181374580610688,5275498722525.117,-15840693026.882812,42908289347.14699
1,9,5341946000000.0,5338703069184.0,3242721280.0,85816550731.99724,0.4181374580610688,5340324509511.398,1621440327.3984375,42908289347.14699
1,10,5723690000000.0,5578502963200.0,145186881536.0,85816550731.99724,0.4181374580610688,5651096401331.75,72593438131.75,42908289347.14699
2,11,6159477000000.0,5952682590208.0,206794391552.0,200787312346.96375,0.4604027074281501,6056079833529.525,103397243321.52539,100393704068.4695
2,12,6486744400000.0,6329737412608.0,157006954496.0,200787312346.96375,0.4604027074281501,6408240898697.57,78503486089.57031,100393704068.4695
2,13,7045862400000.0,6814493573120.0,231368818688.0,200787312346.96375,0.4604027074281501,6930178058661.736,115684485541.73633,100393704068.4695
3,14,7406479700000.0,7248623435776.0,157856301056.0,224756101077.71948,0.32534038827742684,7327551529559.903,78928093783.90332,112378130453.53177
3,15,8075760000000.0,7830953263104.0,244806844416.0,224756101077.71948,0.32534038827742684,7953356701953.97,122403438849.96973,112378130453.53177
3,16,8861197000000.0,8602939555840.0,258257453056.0,224756101077.71948,0.32534038827742684,8732068509920.927,129128954080.92676,112378130453.53177
4,17,9403298000000.0,9489543593984.0,-86245376000.0,154206182653.84082,0.21579541839346986,9446421158646.0,-43122435338.0,77103039067.13925
4,18,10248075000000.0,10358205972480.0,-110130888704.0,154206182653.84082,0.21579541839346986,10303140448159.9,-55065524320.09961,77103039067.13925
4,19,11026682000000.0,10799147909120.0,227533651968.0,154206182653.84082,0.21579541839346986,10912914685913.75,113766776793.75,77103039067.13925
5,20,11686978000000.0,11572544012288.0,114434244608.0,162172779444.10526,0.12301145079720113,11629761093904.684,57217081616.68359,81086458903.35603
5,21,12603135000000.0,12858808074240.0,-255673237504.0,162172779444.10526,0.12301145079720113,12730971309275.457,-127836764964.54297,81086458903.35603
5,22,13670646000000.0,13691527364608.0,-20881342464.0,162172779444.10526,0.12301145079720113,13681086648773.973,-10440715834.027344,81086458903.35603
6,23,14085564000000.0,14773157625856.0,-687593226240.0,658822337740.1501,0.5636558448033987,14429361071698.037,-343796554157.9629,329411127122.96643
6,24,15228060000000.0,15925464006656.0,-697403703296.0,658822337740.1501,0.5636558448033987,15576762164574.86,-348701842081.1406,329411127122.96643
6,25,16518300000000.0,17103948087296.0,-585648570368.0,658822337740.1501,0.5636558448033987,16811123862383.512,-292824224912.4883,329411127122.96643
7,26,16876055000000.0,18301224747008.0,-1425169973248.0,1275809224668.4712,0.9784244031901745,17588640047496.238,-712584699511.7617,637904644343.9841
7,27,18259766000000.0,19545710395392.0,-1285944246272.0,1275809224668.4712,0.9784244031901745,18902738338618.81,-642972056773.1914,637904644343.9841
7,28,19799692000000.0,20894363680768.0,-1094671400960.0,1275809224668.4712,0.9784244031901745,20347027416614.547,-547336264153.4531,637904644343.9841
8,29,20608390000000.0,22294286041088.0,-1685896298496.0,1237310193267.8872,1.0901398772193451,21451337302333.723,-842948738754.2773,618655389510.1206
8,30,22309165000000.0,23631939764224.0,-1322774429696.0,1237310193267.8872,1.0901398772193451,22970552486087.67,-661387278136.3281,618655389510.1206
8,31,24180672000000.0,24151844716544.0,28827451392.0,1237310193267.8872,1.0901398772193451,24166258774326.242,14414057782.242188,618655389510.1206
9,32,25332357000000.0,26180600201216.0,-848243458048.0,740519947678.684,0.9309882621837251,25756478685647.4,-424121515568.60156,370260020823.50055
9,33,27580202000000.0,26966017179648.0,614184517632.0,740519947678.684,0.9309882621837251,27273109846561.8,307092666913.8008,370260020823.50055
