iteration,time_step,prediction,actual,error,rmse,mase
0,5,5399.3076,5364.279,35.02861718749955,56.159657484732364,0.3946644195174438
0,6,5512.505,5425.259,87.24588281249999,56.159657484732364,0.3946644195174438
0,7,5637.9404,5612.983,24.957429687499825,56.159657484732364,0.3946644195174438
1,8,5685.2534,5688.142,-2.8885820312498254,37.989826399918144,0.5351942634195939
1,9,5766.7686,5733.281,33.48755468750005,37.989826399918144,0.5351942634195939
1,10,5860.486,5803.918,56.567839843750335,37.989826399918144,0.5351942634195939
2,11,5901.109,6010.136,-109.02711328125042,67.93466428449734,0.7573658914391838
2,12,5951.354,5907.74,43.61400390625022,67.93466428449734,0.7573658914391838
2,13,5938.807,5946.308,-7.500871093749993,67.93466428449734,0.7573658914391838
3,14,6011.041,6010.146,0.8950156250002692,39.82621528152188,0.48919007401443726
3,15,6088.673,6112.655,-23.982148437499745,39.82621528152188,0.48919007401443726
3,16,6067.511,6132.183,-64.67176953124999,39.82621528152188,0.48919007401443726
4,17,6017.6084,6052.686,-35.077601562499694,30.890550576136953,0.20992564169638742
4,18,6156.724,6130.123,26.601121093750407,30.890550576136953,0.20992564169638742
4,19,5884.7114,5915.119,-30.407574218749687,30.890550576136953,0.20992564169638742
5,20,5479.1484,5480.726,-1.577562499999658,27.544786263132732,0.1369865754201388
5,21,5641.5884,5679.715,-38.126621093750146,27.544786263132732,0.1369865754201388
5,22,5574.752,5546.116,28.635953125000015,27.544786263132732,0.1369865754201388
6,23,5343.367,5344.086,-0.7188125000002401,93.18726409085727,0.7340892533880491
6,24,5528.804,5480.157,48.64719921874985,93.18726409085727,0.7340892533880491
6,25,5374.783,5528.681,-153.89779687499959,93.18726409085727,0.7340892533880491
7,26,5344.92,5376.473,-31.553078124999956,117.9867913457948,1.0126550381847041
7,27,5454.138,5252.932,201.2061835937502,117.9867913457948,1.0126550381847041
7,28,5228.9883,5212.162,16.826281249999738,117.9867913457948,1.0126550381847041
8,29,5248.224,5377.797,-129.57287890624957,249.75638389950313,0.6694464068233985
8,30,5415.2085,5262.145,153.06349609374956,249.75638389950313,0.6694464068233985
8,31,5097.926,4714.628,383.2977812500003,249.75638389950313,0.6694464068233985
9,32,5131.897,5032.213,99.68397265625026,192.76297456983863,1.5768240233323014
9,33,5379.204,5078.871,300.3331015624999,192.76297456983863,1.5768240233323014
9,34,5017.861,4911.391,106.46983984375038,192.76297456983863,1.5768240233323014
