iteration,time_step,prediction,actual,error,rmse,mase
0,5,-10709555000.0,5364.279,-10709560564.279,14145058351.267242,95770290.66553289
0,6,-3219271700.0,5425.259,-3219277105.259,14145058351.267242,95770290.66553289
0,7,-21798838000.0,5612.983,-21798843884.983,14145058351.267242,95770290.66553289
1,6,-10829926000.0,5425.259,-10829931825.259,14303000592.540993,91629930.06618668
1,7,-3260981200.0,5612.983,-3260986860.983,14303000592.540993,91629930.06618668
1,8,-22041002000.0,5688.142,-22041007672.142,14303000592.540993,91629930.06618668
2,7,-10952595000.0,5612.983,-10952601068.983,14463961461.10071,202518566.59521115
2,8,-3303457000.0,5688.142,-3303462712.142,14463961461.10071,202518566.59521115
2,9,-22287798000.0,5733.281,-22287804005.281,14463961461.10071,202518566.59521115
3,8,-11074031000.0,5688.142,-11074036280.142,14623682684.774395,212771196.29480523
3,9,-3343502600.0,5733.281,-3343508325.281,14623682684.774395,212771196.29480523
3,10,-22533147000.0,5803.918,-22533152427.918,14623682684.774395,212771196.29480523
4,9,-11192647000.0,5733.281,-11192652389.281,14780433467.586637,89929597.1184313
4,10,-3378709000.0,5803.918,-3378714795.918,14780433467.586637,89929597.1184313
4,11,-22774815000.0,6010.136,-22774820730.136,14780433467.586637,89929597.1184313
5,10,-11308460000.0,5803.918,-11308465835.918,14934045195.960972,81506133.98353894
5,11,-3410110200.0,6010.136,-3410116218.136,14934045195.960972,81506133.98353894
5,12,-23012313000.0,5907.74,-23012318995.74,14934045195.960972,81506133.98353894
6,11,-11422234000.0,6010.136,-11422239610.136,15085114509.918493,180227589.49416763
6,12,-3440075500.0,5907.74,-3440081427.74,15085114509.918493,180227589.49416763
6,13,-23246076000.0,5946.308,-23246081850.308,15085114509.918493,180227589.49416763
7,12,-11534870000.0,5907.74,-11534875411.74,15234551298.26488,250522110.60676146
7,13,-3470397400.0,5946.308,-3470403386.308,15234551298.26488,250522110.60676146
7,14,-23477166000.0,6010.146,-23477172090.146,15234551298.26488,250522110.60676146
8,13,-11647756000.0,5946.308,-11647762234.308,15384155242.244831,155729678.92060596
8,14,-3501653200.0,6010.146,-3501659258.146,15384155242.244831,155729678.92060596
8,15,-23708320000.0,6112.655,-23708325856.655,15384155242.244831,155729678.92060596
9,14,-11761618000.0,6010.146,-11761623930.146,15534727654.878765,214345562.7336186
9,15,-3534914600.0,6112.655,-3534920672.655,15534727654.878765,214345562.7336186
9,16,-23940583000.0,6132.183,-23940589556.183,15534727654.878765,214345562.7336186
10,15,-11876682000.0,6112.655,-11876687840.655,15686729515.754898,266740133.00024426
10,16,-3569346000.0,6132.183,-3569352180.183,15686729515.754898,266740133.00024426
10,17,-24174866000.0,6052.686,-24174872484.686,15686729515.754898,266740133.00024426
11,16,-11993350000.0,6132.183,-11993356276.183,15840781605.40402,169966315.5678691
11,17,-3604648700.0,6052.686,-3604654756.686,15840781605.40402,169966315.5678691
11,18,-24412223000.0,6130.123,-24412229618.123,15840781605.40402,169966315.5678691
12,17,-12111865000.0,6052.686,-12111870884.686,15997292048.664875,92111251.67339288
12,18,-3640381000.0,6130.123,-3640387058.123,15997292048.664875,92111251.67339288
12,19,-24653396000.0,5915.119,-24653401883.119,15997292048.664875,92111251.67339288
13,18,-12232184000.0,6130.123,-12232189938.123,16156121032.402277,41892483.31192168
13,19,-3677015800.0,5915.119,-3677021723.119,16156121032.402277,41892483.31192168
13,20,-24898062000.0,5480.726,-24898067816.726,16156121032.402277,41892483.31192168
14,19,-12354825000.0,5915.119,-12354831131.119,16318038058.260134,43382547.37431751
14,20,-3714231800.0,5480.726,-3714237288.726,16318038058.260134,43382547.37431751
14,21,-25147513000.0,5679.715,-25147518511.715,16318038058.260134,43382547.37431751
15,20,-12479895000.0,5480.726,-12479900008.726,16483136986.474413,83454723.42268696
15,21,-3752310500.0,5679.715,-3752316207.715,16483136986.474413,83454723.42268696
15,22,-25401838000.0,5546.116,-25401843114.116,16483136986.474413,83454723.42268696
16,21,-12606749000.0,5679.715,-12606754351.715,16650468246.92227,83540252.38168138
16,22,-3791576300.0,5546.116,-3791581866.116,16650468246.92227,83540252.38168138
16,23,-25659455000.0,5344.086,-25659460832.086,16650468246.92227,83540252.38168138
17,22,-12734860000.0,5546.116,-12734865834.116,16819422972.498144,83773458.72063683
17,23,-3831429600.0,5344.086,-3831434976.086,16819422972.498144,83773458.72063683
17,24,-25919529000.0,5480.157,-25919534440.157,16819422972.498144,83773458.72063683
18,23,-12863713000.0,5344.086,-12863718624.086,16989551414.380468,154991012.5009675
18,24,-3870477000.0,5480.157,-3870482536.157,16989551414.380468,154991012.5009675
18,25,-26181642000.0,5528.681,-26181647768.681,16989551414.380468,154991012.5009675
19,24,-12992330000.0,5480.157,-12992335208.157,17159444660.223759,143956033.34898007
19,25,-3909042400.0,5528.681,-3909047960.681,17159444660.223759,143956033.34898007
19,26,-26443485000.0,5376.473,-26443490560.473,17159444660.223759,143956033.34898007
20,25,-13120197000.0,5528.681,-13120202136.681,17328461644.68176,105823536.92690583
20,26,-3946775300.0,5376.473,-3946780672.473,17328461644.68176,105823536.92690583
20,27,-26704114000.0,5252.932,-26704118916.932,17328461644.68176,105823536.92690583
21,26,-13247622000.0,5376.473,-13247627520.473,17497073110.502823,179316097.37456036
21,27,-3983446500.0,5252.932,-3983451780.932,17497073110.502823,179316097.37456036
