country,model_type,data_type,rmse,mase,n_predictions
China,loco,actual,924537124746.1649,0.4212956320501334,9
China,single,actual,821186074848.4546,0.5411645368895055,9
Brazil,loco,actual,372271446444.6433,3.8883447655200327,9
Brazil,single,actual,278702729849.46216,2.5363483969183966,9
Russia,loco,actual,308852951195.94147,3.0693802917587467,9
Russia,single,actual,172721005812.73105,1.3696387787342752,9
India,loco,actual,609744154219.5289,0.7285038111122366,9
India,single,actual,603189900946.2678,0.7642554806284769,9
Mexico,loco,actual,328345132227.53424,4.3298631780790195,9
Mexico,single,actual,220201643333.03702,2.7526584757259953,9
Indonesia,loco,actual,284341466314.7264,1.625710283787054,9
Indonesia,single,actual,363261443343.8237,2.311572559366195,9
Turkey,loco,actual,240612942796.63785,1.927422640714471,9
Turkey,single,actual,64020796082.408554,0.4852067912753497,9
Saudi Arabia,loco,actual,260115863572.43475,4.0897008357018345,9
Saudi Arabia,single,actual,160073201210.3544,2.2866729463304436,9
South Africa,loco,actual,81465704946.08472,4.526146894345333,9
South Africa,single,actual,66265336839.158455,3.9086135266087516,9
Argentina,loco,actual,123012345082.9668,2.494520901640319,9
Argentina,single,actual,67700996568.12407,1.5961315524542388,9
