country,model_type,strategy,data_type,rmse,mase,n_predictions
China,loco,non_recursive,actual,17309.619882223913,10.147332500201871,9
China,loco,recursive,actual,25094.664684127074,15.241602369006898,9
China,single,non_recursive,actual,4505.964733082014,2.408617411638684,9
China,single,recursive,actual,10753.096836063487,5.6757525825447805,9
Brazil,loco,non_recursive,actual,240.40228921930768,2.1341805883995697,9
Brazil,loco,recursive,actual,735.2571828980588,6.568978933554701,9
Brazil,single,non_recursive,actual,233.27697431306044,1.7988827870090558,9
Brazil,single,recursive,actual,679.489642924645,6.274050604369805,9
Russia,loco,non_recursive,actual,545.4427815216824,2.567528534443117,9
Russia,loco,recursive,actual,1053.8378230695698,4.945829681767437,9
Russia,single,non_recursive,actual,566.1934075610301,2.4549735111035442,9
Russia,single,recursive,actual,767.6439169555682,3.288265489680178,9
India,loco,non_recursive,actual,804.3916084980608,1.2727999508054846,9
India,loco,recursive,actual,2094.1437028167206,3.242662571655328,9
India,single,non_recursive,actual,617.963062755102,0.8356759439973043,9
India,single,recursive,actual,1809.738921278541,3.033635581085687,9
Mexico,loco,non_recursive,actual,201.9037394301649,1.807343272648042,9
Mexico,loco,recursive,actual,429.11312602903115,4.461154927894388,9
Mexico,single,non_recursive,actual,177.33660267044274,1.6839058182931803,9
Mexico,single,recursive,actual,128.20221610259605,1.1116870205520275,9
Indonesia,loco,non_recursive,actual,280.7159366840722,1.467106324981333,9
Indonesia,loco,recursive,actual,567.6872780575143,3.0786420612356777,9
Indonesia,single,non_recursive,actual,316.80979768895065,1.2020321536268077,9
Indonesia,single,recursive,actual,326.3217983059352,1.3579510678248863,9
Turkey,loco,non_recursive,actual,116.21948684287209,1.5312968221519172,9
Turkey,loco,recursive,actual,225.20321809583731,3.7437882480734412,9
Turkey,single,non_recursive,actual,92.78009061535191,1.3665747601818388,9
Turkey,single,recursive,actual,67.90127774867338,0.978129324281679,9
Saudi Arabia,loco,non_recursive,actual,291.99331664506826,2.2003346057526794,9
Saudi Arabia,loco,recursive,actual,211.06579751471466,1.547339973795135,9
Saudi Arabia,single,non_recursive,actual,427.0519001792148,3.6717102627626463,9
Saudi Arabia,single,recursive,actual,1327.9235884607945,12.078056962736165,9
South Africa,loco,non_recursive,actual,81.37401932355529,1.2840575550414965,9
South Africa,loco,recursive,actual,152.49620254661323,2.4959457190650656,9
South Africa,single,non_recursive,actual,46.5660709346647,0.8118125613738172,9
South Africa,single,recursive,actual,50.17626901336324,1.034944183114321,9
Argentina,loco,non_recursive,actual,82.2165472751853,1.6733518498929891,9
Argentina,loco,recursive,actual,42.60701386255413,0.92244585752946,9
Argentina,single,non_recursive,actual,100.15585378696514,2.270994885155305,9
Argentina,single,recursive,actual,212.0046329060391,4.974980241231565,9
