,United States,China,Japan,Germany,United Kingdom,France,Italy,Canada,Brazil,Russia,India,Australia,Mexico,Indonesia,Turkey,Saudi Arabia,South Africa,Argentina,South Korea
United States,1.0,0.48989951356422134,0.9486180497351197,-0.38350878979581604,-0.2294194610642381,-0.22731874779079383,0.9071447514404963,0.9049735140984785,0.6871231254223376,-0.039310739103610076,0.4588615154637701,0.8111966495391199,0.8087797054304348,0.5438413394951174,0.5965232004923133,0.5681503726340524,0.7946745669182507,0.6974093500713971,0.7308760537141628
China,0.48989951356422134,1.0,0.5716468465444183,-0.9261703612645793,-0.903134359738799,-0.7826870785349653,0.15860853012042786,0.7880147285079576,0.9560685735782937,-0.1667277708968091,0.9872679746186368,0.8821875094516081,0.8536999407387686,0.9815477465184597,0.9817619054905982,0.9853038821579541,0.8359500588487457,0.9489714299863501,0.9317172878756588
Japan,0.9486180497351197,0.5716468465444183,1.0,-0.4251102801557514,-0.3391037019607712,-0.31401917610110913,0.8543783567227902,0.9220027931390773,0.756348977863894,0.05974925820513901,0.5362526300654908,0.8508168343925953,0.8594830012370825,0.6124641298246603,0.6660771765820516,0.6512251436194312,0.840860181699078,0.7527351217173434,0.7874987779558589
Germany,-0.38350878979581604,-0.9261703612645793,-0.4251102801557514,1.0,0.8812864374883432,0.8563758250371565,-0.054315166938836715,-0.6770936115941479,-0.8555725549840084,0.37667275618394913,-0.9427447116993002,-0.8070082285426184,-0.745622140489931,-0.9394261112381078,-0.9201321614558459,-0.9023069936193621,-0.7338437769645145,-0.8330241984027235,-0.8653979938971385
United Kingdom,-0.2294194610642381,-0.903134359738799,-0.3391037019607712,0.8812864374883432,1.0,0.8149455983344878,0.07669682115431915,-0.6049257939690534,-0.8114476737959666,0.03429874116822227,-0.9317844097786367,-0.7069025929542824,-0.7020290306603992,-0.9076984969556505,-0.8793946085583805,-0.8884405212725934,-0.6746365421169064,-0.7907330046675755,-0.7732092645708657
France,-0.22731874779079383,-0.7826870785349653,-0.31401917610110913,0.8563758250371565,0.8149455983344878,1.0,0.02783197644564781,-0.5179081919622317,-0.7164119115896579,0.14925146639842554,-0.8047219334865445,-0.6888631949795745,-0.6669866399172295,-0.7956232245256377,-0.7897526373732021,-0.7719535867013438,-0.6933606306270877,-0.6723046868468436,-0.7460998362095943
Italy,0.9071447514404963,0.15860853012042786,0.8543783567227902,-0.054315166938836715,0.07669682115431915,0.02783197644564781,1.0,0.7038127104413786,0.3827254231229386,0.16198474116393863,0.11800366227144422,0.5736315761552435,0.6050490969123234,0.222892077960788,0.2834650811127188,0.2643993530644542,0.5946603795687044,0.41876917919891454,0.44629576542585
Canada,0.9049735140984785,0.7880147285079576,0.9220027931390773,-0.6770936115941479,-0.6049257939690534,-0.5179081919622317,0.7038127104413786,1.0,0.9110893062259618,-0.032351333154549924,0.7688298671108319,0.9640762057910598,0.9638914053844402,0.8265728722428812,0.8584288240758213,0.843219311364897,0.9388087169112221,0.9088073957142699,0.9255418621208329
Brazil,0.6871231254223376,0.9560685735782937,0.756348977863894,-0.8555725549840084,-0.8114476737959666,-0.7164119115896579,0.3827254231229386,0.9110893062259618,1.0,-0.14322558758910645,0.9391704552166906,0.9584465351147144,0.9415544662200562,0.9569952350872719,0.9750987515707775,0.9688790276149623,0.9186269507657137,0.9775899447122522,0.9817154839929969
Russia,-0.039310739103610076,-0.1667277708968091,0.05974925820513901,0.37667275618394913,0.03429874116822227,0.14925146639842554,0.16198474116393863,-0.032351333154549924,-0.14322558758910645,1.0,-0.1822329255166429,-0.1261366922853,0.0251233981625677,-0.17786776807994423,-0.16309714224161445,-0.10154209926156646,0.012058753124514827,-0.08996323372901799,-0.20351170688862458
