,United States,China,Japan,Germany,United Kingdom,France,Italy,Canada,Brazil,Russia,India,Australia,Mexico,Indonesia,Turkey,Saudi Arabia,South Africa,Argentina,South Korea
United States,1.0,0.9191681634996174,0.9366152969179528,0.9955862718980589,0.9969384129633356,0.9911567843423141,0.9628369675145514,0.9978559821063772,0.9809604074596687,0.8782468193481296,0.9302054148150953,0.9889152893048218,0.9913500804377086,0.9575876805525434,0.9571186356497406,0.9341960410741946,0.9673841140939302,0.9585783000000382,0.9954560947854098
China,0.9191681634996174,1.0,0.7572777962514792,0.9266608794166412,0.9036766370765664,0.8743466085096062,0.7858613930862406,0.9237566778469901,0.9266459026238044,0.9324560939023846,0.9984316342412556,0.9605025957799976,0.9336959389427992,0.9902022006053667,0.9922082396349018,0.9813422907143085,0.9546132438760653,0.920914454579373,0.9399210727627572
Japan,0.9366152969179528,0.7572777962514792,1.0,0.9311648386274064,0.9413741424068893,0.9665213325099444,0.9830914265732796,0.9325530705824435,0.9044018342350666,0.7397390717327206,0.7741650969724883,0.8857742277143659,0.9170465521626167,0.8300235098180841,0.8235268092515813,0.7829352129899425,0.8464136643875837,0.8647345856391202,0.9123634735511674
Germany,0.9955862718980589,0.9266608794166412,0.9311648386274064,1.0,0.9939584627794167,0.9903476500508605,0.9567421253630044,0.9982890682036185,0.9911221028924428,0.9028319949950119,0.9380707901772655,0.9921755818193961,0.9973362974782325,0.9650182491747537,0.9616551758295225,0.949908280407983,0.9790552079430203,0.9741649374925012,0.9938478488837951
United Kingdom,0.9969384129633356,0.9036766370765664,0.9413741424068893,0.9939584627794167,1.0,0.9932712772877298,0.9691947789870167,0.9964467117443055,0.979173561255767,0.8753940189850462,0.9178890215784746,0.9835781595553745,0.9897944712312223,0.946560642268825,0.945306107465255,0.9266056007912001,0.9653394992708588,0.9584153952160727,0.9909360515983617
France,0.9911567843423141,0.8743466085096062,0.9665213325099444,0.9903476500508605,0.9932712772877298,1.0,0.9859535332614283,0.9919008727048131,0.9756879094273322,0.8615456534567159,0.8888419855730428,0.9696150173627418,0.9842598443616761,0.9251762295965065,0.9224571948709829,0.9018946251492542,0.9484342700916564,0.9490727038513393,0.9791157158834284
Italy,0.9628369675145514,0.7858613930862406,0.9830914265732796,0.9567421253630044,0.9691947789870167,0.9859535332614283,1.0,0.9600711547309249,0.9368774314869336,0.7824111633615358,0.8044272684898928,0.9200783616244006,0.9458609550291568,0.8540777069728915,0.8499940244057623,0.8239006555486371,0.8926807879635165,0.904798883537139,0.9412932111804349
Canada,0.9978559821063772,0.9237566778469901,0.9325530705824435,0.9982890682036185,0.9964467117443055,0.9919008727048131,0.9600711547309249,1.0,0.9892169574520804,0.9009671616320989,0.9349428942329214,0.991657324945886,0.9959328282041683,0.9610261086538354,0.9597147108760082,0.9443590376998073,0.9762553545678301,0.9665334687080768,0.9937417007239346
Brazil,0.9809604074596687,0.9266459026238044,0.9044018342350666,0.9911221028924428,0.979173561255767,0.9756879094273322,0.9368774314869336,0.9892169574520804,1.0,0.9315562368297041,0.9365946981179797,0.9887463654452603,0.9919299727701771,0.9628461493592546,0.9578668550075324,0.9626683416272162,0.9888145581324421,0.9856640537396578,0.9836659715738791
Russia,0.8782468193481296,0.9324560939023846,0.7397390717327206,0.9028319949950119,0.8753940189850462,0.8615456534567159,0.7824111633615358,0.9009671616320989,0.9315562368297041,1.0,0.9338773362291057,0.9251104527868925,0.9169451198084451,0.9291071996921063,0.9306943548309605,0.9581434466286406,0.9518676898263106,0.9191656120040917,0.8901827061327546
India,0.9302054148150953,0.9984316342412556,0.7741650969724883,0.9380707901772655,0.9178890215784746,0.8888419855730428,0.8044272684898928,0.9349428942329214,0.9365946981179797,0.9338773362291057,1.0,0.9687081687826882,0.9453305963915957,0.9936693330527706,0.994455155676956,0.9859312590494597,0.9636348930214531,0.932960265607366,0.9497812046479446
Australia,0.9889152893048218,0.9605025957799976,0.8857742277143659,0.9921755818193961,0.9835781595553745,0.9696150173627418,0.9200783616244006,0.991657324945886,0.9887463654452603,0.9251104527868925,0.9687081687826882,1.0,0.9930586766888624,0.9852375435138225,0.9838161206038268,0.9756247792532005,0.9911135006071685,0.9756137366822198,0.9950603109984298
Mexico,0.9913500804377086,0.9336959389427992,0.9170465521626167,0.9973362974782325,0.9897944712312223,0.9842598443616761,0.9458609550291568,0.9959328282041683,0.9919299727701771,0.9169451198084451,0.9453305963915957,0.9930586766888624,1.0,0.9687636571642355,0.9657001073465736,0.9600465437230391,0.985124011968504,0.9768878968545234,0.9910243312811272
Indonesia,0.9575876805525434,0.9902022006053667,0.8300235098180841,0.9650182491747537,0.946560642268825,0.9251762295965065,0.8540777069728915,0.9610261086538354,0.9628461493592546,0.9291071996921063,0.9936693330527706,0.9852375435138225,0.9687636571642355,1.0,0.9970712503424954,0.987259211139812,0.9768714272794159,0.9562281605210042,0.9740545374367999
Turkey,0.9571186356497406,0.9922082396349018,0.8235268092515813,0.9616551758295225,0.945306107465255,0.9224571948709829,0.8499940244057623,0.9597147108760082,0.9578668550075324,0.9306943548309605,0.994455155676956,0.9838161206038268,0.9657001073465736,0.9970712503424954,1.0,0.9846854968231696,0.9735069587027062,0.9510478676020667,0.9709238103012422
Saudi Arabia,0.9341960410741946,0.9813422907143085,0.7829352129899425,0.949908280407983,0.9266056007912001,0.9018946251492542,0.8239006555486371,0.9443590376998073,0.9626683416272162,0.9581434466286406,0.9859312590494597,0.9756247792532005,0.9600465437230391,0.987259211139812,0.9846854968231696,1.0,0.9868712850755,0.966434102262274,0.9549490597004682
