,United States,China,Japan,Germany,United Kingdom,France,Italy,Canada,Brazil,Russia,India,Australia,Mexico,Indonesia,Turkey,Saudi Arabia,South Africa,Argentina,South Korea
United States,1.0,0.7431832314530723,0.9291422398425578,0.28436047453558394,0.05834729620876408,0.9125023661232914,0.8819535791509279,0.9686544089966169,0.8947692796258894,-0.7876690716637682,0.7706727624648706,0.9439038653782231,0.922695350813065,0.8411219378733098,0.8170353615437622,0.8017057093746236,0.9271118600246048,0.8711923191217755,0.8994559904693596
China,0.7431832314530723,1.0,0.4777531988387924,-0.23302735306324898,-0.5529943609902965,0.46635336993419046,0.3921077540876164,0.8173446404252561,0.9475591811016135,-0.23017332183803416,0.9938639802685896,0.9033714957011593,0.8963817550978593,0.9730593902161642,0.985297871418664,0.9832980027866236,0.8394413103243202,0.9570800385278613,0.9351297779533141
Japan,0.9291422398425578,0.4777531988387924,1.0,0.5296943810861348,0.33256675799986124,0.9884903914723165,0.9776381193002168,0.8777363081322513,0.7116535482870673,-0.7703669475866846,0.5087446755388727,0.7967725592287382,0.7847744630878091,0.6107266239279268,0.5773701581024296,0.5678552106029912,0.8292194438316722,0.6719025635240091,0.7130108618986679
Germany,0.28436047453558394,-0.23302735306324898,0.5296943810861348,1.0,0.499862442924682,0.5405222067973476,0.6120891208769044,0.26833719168010745,-0.00015849723398605063,0.3102506620884489,-0.22035245177107513,0.0928310819131266,0.08805915101172633,-0.16431688348649728,-0.14853700750615464,-0.15219134708052812,0.16979760168310049,-0.059419286196298535,-0.07769986807391147
United Kingdom,0.05834729620876408,-0.5529943609902965,0.33256675799986124,0.499862442924682,1.0,0.3415229530280409,0.40479795076332703,-0.11269938704116066,-0.34035803678879095,-0.2432377489692985,-0.5307194493423155,-0.22819220835916634,-0.23677683653885412,-0.4213057654418996,-0.4749989994449484,-0.46008577184078087,-0.16222550553176338,-0.34548702237823625,-0.2757534544794013
France,0.9125023661232914,0.46635336993419046,0.9884903914723165,0.5405222067973476,0.3415229530280409,1.0,0.9697641790849685,0.8762733761667241,0.7091889915432217,-0.6976654518735589,0.49797496152400517,0.7926178439976116,0.7898047847031716,0.5975316655310401,0.5668568761468041,0.5686321729123052,0.8398463197509576,0.6677544408505164,0.710572302859073
Italy,0.8819535791509279,0.3921077540876164,0.9776381193002168,0.6120891208769044,0.40479795076332703,0.9697641790849685,1.0,0.818831265094857,0.6303229610247868,-0.6116308839557507,0.4153996705523647,0.7284692618695691,0.7153538566252003,0.5233419762631848,0.4861089434817912,0.4771564501513931,0.7594737226324644,0.5894309578950557,0.6259441594501695
Canada,0.9686544089966169,0.8173446404252561,0.8777363081322513,0.26833719168010745,-0.11269938704116066,0.8762733761667241,0.818831265094857,1.0,0.9516547446581096,-0.6136480702609445,0.8372186351959455,0.9805463221602866,0.9740495263298978,0.8878717950510295,0.8789145153533421,0.8758503889044723,0.9786465708605053,0.9255586196894717,0.932984067386635
Brazil,0.8947692796258894,0.9475591811016135,0.7116535482870673,-0.00015849723398605063,-0.34035803678879095,0.7091889915432217,0.6303229610247868,0.9516547446581096,1.0,-0.41622516475966864,0.9573476163163244,0.9885827067831952,0.9853813371317373,0.976762220145287,0.9734874640830132,0.9768823691030695,0.959193587230373,0.9913989555037563,0.9853579170044131
Russia,-0.7876690716637682,-0.23017332183803416,-0.7703669475866846,0.3102506620884489,-0.2432377489692985,-0.6976654518735589,-0.6116308839557507,-0.6136480702609445,-0.41622516475966864,1.0,-0.2642909740199494,-0.5216232771409705,-0.4759882566128797,-0.37780880632826636,-0.2970525482481063,-0.29486506922935746,-0.5216497291275384,-0.42713033527397976,-0.5559962848435881
India,0.7706727624648706,0.9938639802685896,0.5087446755388727,-0.22035245177107513,-0.5307194493423155,0.49797496152400517,0.4153996705523647,0.8372186351959455,0.9573476163163244,-0.2642909740199494,1.0,0.9177702420061814,0.908478336997047,0.9838127224591529,0.9942113689514774,0.9873806812206593,0.8555099207286048,0.9625731578144232,0.9495339377843999
Australia,0.9439038653782231,0.9033714957011593,0.7967725592287382,0.0928310819131266,-0.22819220835916634,0.7926178439976116,0.7284692618695691,0.9805463221602866,0.9885827067831952,-0.5216232771409705,0.9177702420061814,1.0,0.993142226300807,0.9547998973341935,0.94505496164198,0.9432343280727419,0.978695344893032,0.9737386240909296,0.979810985803567
Mexico,0.922695350813065,0.8963817550978593,0.7847744630878091,0.08805915101172633,-0.23677683653885412,0.7898047847031716,0.7153538566252003,0.9740495263298978,0.9853813371317373,-0.4759882566128797,0.908478336997047,0.993142226300807,1.0,0.9463301510475357,0.9346410404563334,0.9428326485545084,0.9860152149086525,0.9728060424115487,0.9740289876841602
Indonesia,0.8411219378733098,0.9730593902161642,0.6107266239279268,-0.16431688348649728,-0.4213057654418996,0.5975316655310401,0.5233419762631848,0.8878717950510295,0.976762220145287,-0.37780880632826636,0.9838127224591529,0.9547998973341935,0.9463301510475357,1.0,0.9868016470938011,0.9782177158698022,0.9014720531606994,0.9745555902235945,0.9767737194743974
Turkey,0.8170353615437622,0.985297871418664,0.5773701581024296,-0.14853700750615464,-0.4749989994449484,0.5668568761468041,0.4861089434817912,0.8789145153533421,0.9734874640830132,-0.2970525482481063,0.9942113689514774,0.94505496164198,0.9346410404563334,0.9868016470938011,1.0,0.9885325724737221,0.8928917183438224,0.9738315854009592,0.9671143755065542
