,n_countries,avg_abs_correlation,max_abs_correlation,granger_significance_rate,avg_granger_pvalue,n_granger_significant,avg_mutual_info,max_mutual_info,common_best_lag
population,19.0,0.8640875518240256,0.9892295974602294,0.7368421052631579,0.06757159374666741,14.0,1.5611879413890384,2.1524356537373177,0.0
energy_per_gdp,19.0,0.5880236042588882,0.9448599036289889,0.21052631578947367,0.3228903539208984,4.0,0.9575472919446465,1.6069016672574192,0.0
energy_per_capita,19.0,0.8672880954655228,0.9974014372193307,0.15789473684210525,0.24804714690502377,3.0,1.5262019612768416,2.499422471063118,0.0
temperature_change_from_ghg,19.0,0.8300876864655345,0.9934394409253023,0.5789473684210527,0.13357548229467298,11.0,1.5422971403498549,2.3081373437610417,0.0
land_use_change_co2_per_capita,19.0,0.5495351850284077,0.947102821016322,0.21052631578947367,0.265968362997558,4.0,0.8166259731075228,1.7118183109691898,0.0
co2_per_capita,19.0,0.8899232970172338,0.9994770095735837,0.42105263157894735,0.21244498639286405,8.0,1.5872138475607735,2.6293054412003247,0.0
share_global_cumulative_coal_co2,19.0,0.8449255755448251,0.9981260937548725,0.631578947368421,0.09156653483313955,12.0,1.527984637827626,2.451843778569171,0.0
share_global_cumulative_cement_co2,19.0,0.7997605500701034,0.9924794831532316,0.631578947368421,0.10510244377042226,12.0,1.4756029063388185,2.2724383440789904,4.0
co2_including_luc_per_capita,19.0,0.6994737637758627,0.9965989035243588,0.2631578947368421,0.26298517349248024,5.0,1.1238541105479605,2.435721906091367,0.0
share_global_flaring_co2,19.0,0.48195471463330886,0.9455478542243303,0.3684210526315789,0.1653632992287871,7.0,0.7116586453089472,1.2601576415965248,0.0
co2_per_unit_energy,19.0,0.6818254480803441,0.9687482598015282,0.3684210526315789,0.20261262204052496,7.0,0.7959895719946622,1.4127989220121193,4.0
land_use_change_co2,19.0,0.5289113084653927,0.9287755785872327,0.21052631578947367,0.2902305163085392,4.0,0.7517334748564031,1.7649726929692722,0.0
gas_co2,19.0,0.7989831735983991,0.9861974070912498,0.5263157894736842,0.11730175064491637,10.0,1.2920520444036672,1.9748147507674614,0.0
share_global_co2,19.0,0.7410726911492064,0.9941066152250569,0.42105263157894735,0.20027636387090225,8.0,1.3481868036881475,2.3755927696910435,0.0
share_global_co2_including_luc,19.0,0.664916655033467,0.9906333706873064,0.3157894736842105,0.24854211118403832,6.0,0.9915643589022194,2.0844562226222934,0.0
temperature_change_from_n2o,19.0,0.6594207256886135,0.9767719207353642,0.05263157894736842,0.30616809412802426,1.0,0.6736917309589088,1.8158663849646584,4.0
nitrous_oxide_per_capita,19.0,0.6675626972424424,0.9566109216736259,0.3684210526315789,0.20277345735322874,7.0,1.0214587354629354,1.6377918178224262,0.0
oil_co2_per_capita,19.0,0.7013383903590809,0.9879174450000743,0.3157894736842105,0.18177094226213655,6.0,1.0153006474064217,2.1484014111437526,0.0
co2_growth_prct,19.0,0.31485683817899046,0.6093260240268498,0.21052631578947367,0.2856701151270222,4.0,0.15320912548139448,0.6314042925489014,0.0
share_global_cement_co2,19.0,0.7134086745191695,0.9664765853901872,0.42105263157894735,0.1943083755753399,8.0,1.0908291617432226,1.9109837606652849,4.0
