,n_countries,avg_abs_correlation,max_abs_correlation,granger_significance_rate,avg_granger_pvalue,n_granger_significant,avg_mutual_info,max_mutual_info,common_best_lag
population,19.0,0.8435605873267472,0.9962682059344298,0.631578947368421,0.07408804727133494,12.0,1.6415413118359499,2.219943052176919,4.0
energy_per_gdp,19.0,0.524916782569348,0.9180252934675954,0.15789473684210525,0.26643752474794785,3.0,0.9627993357700485,1.6843223210345637,0.0
energy_per_capita,19.0,0.9115403012707868,0.9995980245006987,0.42105263157894735,0.2095508114932402,8.0,1.71960872902172,2.640039904477161,0.0
temperature_change_from_ghg,19.0,0.8114437688531954,0.9952835898499336,0.47368421052631576,0.11783853958182633,9.0,1.645711727281211,2.3651138888731795,0.0
land_use_change_co2_per_capita,19.0,0.5907609705490066,0.9598832034832052,0.15789473684210525,0.29171048899046764,3.0,0.8516661201956791,1.6369978837583081,0.0
co2_per_capita,19.0,0.7807427650063319,0.9983577691772559,0.3157894736842105,0.1943210655780291,6.0,1.2561494899339536,2.5137687180364834,0.0
share_global_cumulative_coal_co2,19.0,0.7652327007482773,0.9972808155069453,0.6842105263157895,0.0893589649091881,13.0,1.6185843222799599,2.4971020513698168,0.0
share_global_cumulative_cement_co2,19.0,0.7461367985183461,0.9942355492935093,0.5789473684210527,0.12454890422453191,11.0,1.591357989893337,2.336179264175843,0.0
co2_including_luc_per_capita,19.0,0.6521631420816147,0.9879838756063821,0.42105263157894735,0.22119168595669397,8.0,0.8953012652243796,2.042720886395431,0.0
share_global_flaring_co2,19.0,0.5046719439136759,0.9474644327890028,0.05263157894736842,0.2903105589807571,1.0,0.739158353422588,1.3313037506663628,0.0
co2_per_unit_energy,19.0,0.6591484307557344,0.9614718877609041,0.2631578947368421,0.27813269610027314,5.0,0.8259387891630159,1.5153002506156628,0.0
land_use_change_co2,19.0,0.5266753095128673,0.9350963704111926,0.15789473684210525,0.241702936222405,3.0,0.7818620082603052,1.7303934446214604,0.0
gas_co2,19.0,0.8256358486444186,0.9914171338012165,0.47368421052631576,0.159036576577905,9.0,1.3700966196924678,2.1248052333102865,0.0
share_global_co2,19.0,0.6800966078131246,0.994342725161696,0.47368421052631576,0.13128930354281057,9.0,1.1715076433322893,2.3174544861290314,0.0
share_global_co2_including_luc,19.0,0.6093377388611793,0.9885410532459232,0.3157894736842105,0.2375503294976904,6.0,0.9187821019627921,1.7472614677581773,0.0
temperature_change_from_n2o,19.0,0.6268353012547088,0.9739674323706926,0.2631578947368421,0.3245561140244725,5.0,0.6815055848740584,1.92668828434588,0.0
nitrous_oxide_per_capita,19.0,0.661451173341298,0.969980415283843,0.3684210526315789,0.23444136286141304,7.0,1.018824367644116,1.5745030026387747,0.0
oil_co2_per_capita,19.0,0.6921977675886128,0.9863467668991238,0.3157894736842105,0.2375608710534822,6.0,0.9259079084517686,2.141531209782026,4.0
co2_growth_prct,19.0,0.3216452164773932,0.6170718384783337,0.15789473684210525,0.3161523624813465,3.0,0.18922492543996844,0.5789023363404819,0.0
share_global_cement_co2,19.0,0.700132368612107,0.9641123343782688,0.42105263157894735,0.1735730032151173,8.0,1.1588603584974855,1.902192976926975,0.0
share_global_cumulative_gas_co2,19.0,0.8582106908614622,0.9953999381618606,0.3684210526315789,0.16001300586294015,7.0,1.5003716091066892,2.411206167592577,0.0
share_global_gas_co2,19.0,0.8371283981879937,0.9855593772930351,0.15789473684210525,0.20437111923550413,3.0,1.2164555747197772,1.907352770518841,0.0
share_global_cumulative_oil_co2,19.0,0.8621869378497652,0.9973523554315373,0.2631578947368421,0.1411744558601028,5.0,1.612823920597227,2.4942771926127545,0.0
total_ghg_excluding_lucf,19.0,0.9105293565528904,0.9997725147149039,0.5263157894736842,0.12883084528575975,10.0,1.7635800663866732,2.6617913169065393,0.0
co2_growth_abs,19.0,0.24322432693785723,0.810380735128245,0.3684210526315789,0.2010376137974162,7.0,0.22375673487497347,0.7619207704012623,0.0
cumulative_coal_co2,19.0,0.7858085770176769,0.9956943068104085,0.5789473684210527,0.08857165015345111,11.0,1.6941081194830654,2.5312828423302687,0.0
cement_co2_per_capita,19.0,0.6184921068130079,0.9975530783673702,0.3684210526315789,0.14511711055905288,7.0,1.0092496406730216,2.1805348614975424,0.0
cumulative_oil_co2,19.0,0.8284391634055691,0.9972466147602087,0.631578947368421,0.08464894201896804,12.0,1.8329877568793391,2.5445596784884605,0.0
share_global_luc_co2,19.0,0.5531852140672675,0.93624264336138,0.2631578947368421,0.1908608331635618,5.0,0.7584805252025716,1.4124357162502352,0.0
co2_including_luc_per_gdp,19.0,0.627822661316554,0.9842183595094752,0.21052631578947367,0.27631837028282435,4.0,0.9899690150141192,1.7377330386694194,0.0
nitrous_oxide,19.0,0.7210293446561039,0.9926231043445111,0.47368421052631576,0.13048589150257034,9.0,1.1927671340339028,2.1123100542896838,4.0
co2_including_luc_per_unit_energy,19.0,0.6030146102815448,0.9597912951649231,0.2631578947368421,0.2923049742060883,5.0,0.8710855228564199,1.4921206063486228,0.0
methane_per_capita,19.0,0.647720742704238,0.9851720645936345,0.5263157894736842,0.12815731048030773,10.0,1.0614887708029597,1.587957165657265,0.0
cumulative_luc_co2,19.0,0.8144752538483361,0.9964899220443854,0.47368421052631576,0.1065674985616214,9.0,1.5436963987048593,2.2300721885772417,4.0
co2_including_luc_growth_prct,19.0,0.14329134888557626,0.6174665983593509,0.10526315789473684,0.38927538625715247,2.0,0.17351174629217372,0.42125759231102955,0.0
co2_including_luc_growth_abs,19.0,0.0848490473308238,0.38337796529675816,0.2631578947368421,0.2867265205946966,5.0,0.16169659634918906,0.4481346185509265,0.0
ghg_excluding_lucf_per_capita,19.0,0.7829893308112026,0.9978991700960611,0.42105263157894735,0.18413465675058235,8.0,1.282565038920984,2.437901082846814,0.0
share_global_oil_co2,19.0,0.7092093078115151,0.9899166266971382,0.47368421052631576,0.17556287583262478,9.0,1.1227728498810265,2.2715368914826226,4.0
flaring_co2,19.0,0.4908722161607159,0.9684557656290624,0.2631578947368421,0.23961421929838542,5.0,0.7539803275038068,1.5430938185480245,0.0
coal_co2,19.0,0.8055805277250732,0.9968723983159902,0.3157894736842105,0.1538753048978074,6.0,1.3052984245175077,2.5453667809904785,0.0
temperature_change_from_ch4,19.0,0.8238897638379118,0.9937433686078476,0.3684210526315789,0.1915680346068709,7.0,1.0102949164109702,2.273177999903392,4.0
cumulative_flaring_co2,19.0,0.7252964101321202,0.9932959001578177,0.2631578947368421,0.13450561962785032,5.0,1.3867468374220686,2.101120678693528,0.0
flaring_co2_per_capita,19.0,0.5299392794988843,0.9575514140675971,0.15789473684210525,0.24387033678080458,3.0,0.7793524333618854,1.4263011714587668,0.0
cumulative_co2,19.0,0.8133613477347296,0.9954984205727233,0.7368421052631579,0.10414891948057886,14.0,1.8112363445293558,2.5389099609743364,0.0
share_global_cumulative_luc_co2,19.0,0.6626567150844681,0.9914597887019675,0.3157894736842105,0.11719479859502223,6.0,1.3377151181458393,2.2349013518809815,0.0
cement_co2,19.0,0.7870342087321144,0.9955049336505127,0.47368421052631576,0.1364391777114069,9.0,1.2486108442959303,2.300753202478594,0.0
coal_co2_per_capita,19.0,0.7045396753551462,0.9974954101519303,0.2631578947368421,0.18276878952674547,5.0,1.0841137785056338,2.3219204533068627,0.0
ghg_per_capita,19.0,0.6252538495244029,0.9938290892642875,0.3684210526315789,0.21443343869482168,7.0,0.9435542638303049,2.12049885230899,0.0
share_of_temperature_change_from_ghg,19.0,0.8253181956264427,0.9921693021713796,0.5263157894736842,0.17684519874655788,10.0,1.6546724615717727,2.298110929497338,0.0
share_global_cumulative_flaring_co2,19.0,0.5878811887755117,0.984533501042993,0.3684210526315789,0.23354372907023974,7.0,1.157061540189752,1.793636067079201,0.0
share_global_cumulative_co2,19.0,0.7741954480543578,0.9980043584247247,0.8421052631578947,0.04949317459870492,16.0,1.7398039766134665,2.542017305607105,0.0
share_global_cumulative_co2_including_luc,19.0,0.6930445249033514,0.9913263288573461,0.42105263157894735,0.1961389946282155,8.0,1.42050366351287,2.2796539627352876,0.0
share_global_coal_co2,19.0,0.63577944560307,0.9901132994229445,0.3684210526315789,0.17685067058098258,7.0,1.0794695470823106,2.1288480831158485,4.0
temperature_change_from_co2,19.0,0.815712881093388,0.9968708272230223,0.47368421052631576,0.16054246364967042,9.0,1.5997591266872846,2.4044668617007288,0.0
total_ghg,19.0,0.8789708526868182,0.9983643304829806,0.42105263157894735,0.20114154902388529,8.0,1.4423888520474004,2.385762261216467,0.0
cumulative_co2_including_luc,19.0,0.8169436291056326,0.9970478573655341,0.631578947368421,0.10224923141119828,12.0,1.795131374900884,2.440746119166427,0.0
co2_including_luc,19.0,0.8188106494009926,0.9949734647361483,0.42105263157894735,0.19605538987437204,8.0,1.1894863165969558,2.254668637326233,4.0
co2_per_gdp,19.0,0.6169272137064369,0.9514724747289411,0.2631578947368421,0.2628879478977152,5.0,0.9882962682494089,1.599023591985835,0.0
cumulative_cement_co2,19.0,0.8070064033575582,0.9923217605261377,0.47368421052631576,0.10456730252970856,9.0,1.783136321370001,2.4444789682382586,0.0
gas_co2_per_capita,19.0,0.7862315803830066,0.9830786678931432,0.2631578947368421,0.18769149935404744,5.0,1.2689557842133479,2.0388009362890402,0.0
cumulative_gas_co2,19.0,0.764141095564569,0.9898350988724153,0.5789473684210527,0.11810057696664068,11.0,1.5284473104463148,2.3308552498164348,0.0
methane,19.0,0.7528268086305351,0.9937116126013249,0.6842105263157895,0.06448759848482517,13.0,1.344586790490411,2.230426824525098,4.0
oil_co2,19.0,0.8196769874066434,0.9946864810133601,0.3157894736842105,0.18530284467164937,6.0,1.2095665585682511,2.414696885913804,0.0
other_renewables_cons_change_twh,19.0,0.27910103200166203,0.8454153357857978,0.3684210526315789,0.17951955760636015,7.0,0.30218144041025424,0.9499598139774059,0.0
wind_elec_per_capita,19.0,0.6122037807375418,0.9324035584166962,0.7894736842105263,0.06674401446700044,15.0,0.5384366539093433,1.3616113248904098,0.0
oil_share_energy,19.0,0.6056717433754857,0.949155006207199,0.15789473684210525,0.1962287555259156,3.0,0.9452143899923877,1.6153596813547646,0.0
fossil_energy_per_capita,19.0,0.8477650610791186,0.9958952006460657,0.47368421052631576,0.15616831879774254,9.0,1.4212785800863892,2.5632037462850707,0.0
per_capita_electricity,19.0,0.8205646489296916,0.9972668570013621,0.5263157894736842,0.16302828349932047,10.0,1.2646191634772261,2.2291840645774013,0.0
energy_cons_change_twh,19.0,0.2532293171639286,0.86145532997444,0.42105263157894735,0.17100117607792945,8.0,0.20752942122104814,0.8101390576338687,0.0
oil_consumption,19.0,0.819267984332598,0.9979004430872449,0.3684210526315789,0.08893803547799514,7.0,1.4566056013979076,2.475592769691043,0.0
coal_elec_per_capita,19.0,0.6036344372334976,0.998938323540239,0.3684210526315789,0.14600950179477343,7.0,0.8705683102225646,2.1338849192782563,0.0
renewables_elec_per_capita,19.0,0.591551680469492,0.984760938863145,0.5789473684210527,0.1706511169267257,11.0,0.706569257445527,1.8132537359793761,0.0
renewables_cons_change_pct,19.0,0.07691414593007051,0.5206852678294247,0.05263157894736842,0.47002791840985797,1.0,0.14479160600908594,0.3441238277791805,0.0
fossil_share_energy,19.0,0.6189586823066379,0.9444809423484481,0.3157894736842105,0.21728673048577163,6.0,0.7009300039315567,1.4811622943283647,0.0
coal_prod_per_capita,19.0,0.6413797891872561,0.9865480023601237,0.3157894736842105,0.1928599326556739,6.0,0.9973998505942061,2.1295610236592974,0.0
hydro_cons_change_twh,19.0,0.044923503577971195,0.5431651316643937,0.05263157894736842,0.3713047600721302,1.0,0.1946785925967589,0.5180347062498085,0.0
renewables_electricity,19.0,0.7122487771509021,0.9815662391788814,0.631578947368421,0.127659687754244,12.0,0.8647563125839037,1.8196773592176503,0.0
gas_electricity,19.0,0.7264103900996957,0.9594763377313598,0.47368421052631576,0.17850124097437603,9.0,0.9046865012486981,1.6237404341337716,0.0
hydro_energy_per_capita,19.0,0.48305945428157004,0.987269267636423,0.21052631578947367,0.2888762865035025,4.0,0.6290503868664618,2.1189139964868464,0.0
electricity_generation,19.0,0.8728911331722383,0.996728213126588,0.5263157894736842,0.12422979208636717,10.0,1.4084121420400857,2.2210644064577436,0.0
other_renewable_electricity,19.0,0.7378346017924768,0.9743016664641212,0.631578947368421,0.09788446021286144,12.0,0.978926105529871,1.6011902507412268,0.0
gas_prod_change_twh,19.0,0.24900649269179462,0.8999138410195254,0.21052631578947367,0.11388169162273319,4.0,0.28675470573891193,1.0159181365149699,0.0
gas_prod_change_pct,19.0,0.24908128179607028,0.540463487285426,0.05263157894736842,0.29272639943759576,1.0,0.2096451292898421,0.41788064067651387,0.0
fossil_share_elec,19.0,0.5722998556914823,0.900044529408254,0.3684210526315789,0.18758423514154682,7.0,0.5042218800887084,0.8615671802299543,0.0
gas_cons_change_pct,19.0,0.2769002426233467,0.509825929756791,0.10526315789473684,0.3152310661319962,2.0,0.15838391546552577,0.4924852940849762,0.0
oil_cons_change_pct,19.0,0.36139211616820627,0.6637002511106549,0.21052631578947367,0.21188088682617023,4.0,0.24130451567924438,0.5308804794263215,3.0
low_carbon_elec_per_capita,19.0,0.7196739316112019,0.9883554100533661,0.5263157894736842,0.1275878643932075,10.0,0.8529299721322342,1.7915554025579568,0.0
fossil_cons_change_pct,19.0,0.3028200785936743,0.6474586708780472,0.15789473684210525,0.2976465276169848,3.0,0.18998753042687558,0.5861448672471776,0.0
