target,model,n_countries,avg_rmse,std_rmse,min_rmse,max_rmse,avg_mase,std_mase
co2,Bi-LSTM,19,299.73815142142183,642.5406910997028,18.40352316287687,2834.634848460417,3.577411450534669,4.349726317984114
co2,ED-LSTM,19,419.3174011358907,1281.1501582622866,14.674860505192802,5824.674473247571,3.274763910301209,3.70464011451035
co2,CNN,19,225.76042435888738,344.8916176114312,14.891668547917122,1220.9129810172053,3.9410106273220262,4.972559728539182
co2,LSTM,19,697.2425165706057,2089.070597785221,11.922339707763703,9405.056975177758,5.896387626937323,9.154990322275369
gdp,Bi-LSTM,19,1184133617960.5447,2875269796625.5557,24536400482.287945,12666445661265.955,8.258758784572862,24.15426827801939
gdp,ED-LSTM,19,498611987183.1127,564737395000.6139,28557346279.25538,2124743520499.8657,4.036223710886906,5.420917903297098
gdp,CNN,19,928388267505.2993,2539198097351.887,32616978315.84836,11610111754223.928,9.102765798256325,29.61285988683298
gdp,LSTM,19,887906611328.5398,1774868492012.934,38076430292.31605,7706684072434.572,6.646284156165779,15.773093077503049
primary_energy_consumption,Bi-LSTM,19,2820.7849354569485,7481.06212207218,39.78951662068168,28626.98489225384,10.336276459376078,34.53519679349281
primary_energy_consumption,ED-LSTM,19,537.4050303077771,964.1722893824049,65.34604254095858,4476.973268877745,2.3656443685596438,2.739235172078583
primary_energy_consumption,CNN,19,1690.4135806769298,4936.575782010619,47.789071429330804,22282.98157002237,4.689702850286404,8.351882773549816
primary_energy_consumption,LSTM,19,1490.8091987328414,3654.4011358558837,32.321149934496205,13206.821384408058,7.732247541962443,25.426089676520984
