country,model_type,data_type,rmse,mase,n_predictions
United States,loco,actual,1386.3936223967373,1.6373313860080034,9
United States,single,actual,863.9020328892565,1.0491670535802822,9
Japan,loco,actual,615.3542791276004,4.166678214863956,9
Japan,single,actual,231.09373476902272,1.2287410439842872,9
Germany,loco,actual,220.82855851475193,1.3703536803570333,9
Germany,single,actual,206.07775430293952,1.1515582190666704,9
United Kingdom,loco,actual,122.27502135757285,1.495140431474759,9
United Kingdom,single,actual,125.21728983792002,1.3510595141635418,9
France,loco,actual,118.13270372157614,0.6367263615024972,9
France,single,actual,166.21076941513192,1.0191194973205429,9
Italy,loco,actual,126.37869807936234,1.8062450180708756,9
Italy,single,actual,70.74424069619647,0.9984040491340525,9
Canada,loco,actual,112.6445966744902,0.8052959312140301,9
Canada,single,actual,147.9612100216227,1.2640230820199405,9
Australia,loco,actual,43.18056448554779,1.0959531490632926,9
Australia,single,actual,37.697413696824356,0.9173381747482998,9
South Korea,loco,actual,382.1008145844595,3.250051002735149,9
South Korea,single,actual,259.83854547684587,2.2754104876290455,9
