country,model_type,data_type,rmse,mase,n_predictions
China,loco,actual,2525465669061.519,1.504013954292523,9
China,single,actual,482658251777.2585,0.31121992430946605,9
Brazil,loco,actual,409972495933.6993,4.187171061522152,9
Brazil,single,actual,265341927473.69406,2.4739712532663902,9
Russia,loco,actual,261384843897.69955,2.5643019057642733,9
Russia,single,actual,626898194757.1775,6.250653971807351,9
India,loco,actual,609323027596.6605,0.7601222571078325,9
India,single,actual,549206721974.8702,0.7359545199980854,9
Mexico,loco,actual,295961591410.5504,3.7546011888650215,9
Mexico,single,actual,221170625265.03235,2.747637687712053,9
Indonesia,loco,actual,392636596500.51294,2.481059024161921,9
Indonesia,single,actual,362124509177.38104,2.0680317211774857,9
Turkey,loco,actual,382391103079.3264,2.9647559493463067,9
Turkey,single,actual,52140983155.708694,0.4135359580528766,9
Saudi Arabia,loco,actual,8944657417618.889,79.62782960418555,9
Saudi Arabia,single,actual,194942547797.59286,2.860955452663435,9
South Africa,loco,actual,99582761743.2037,5.427835113113917,9
South Africa,single,actual,61740172180.57342,3.6426624619325327,9
Argentina,loco,actual,94082024988.0319,2.0383724617826102,9
Argentina,single,actual,47366434207.98453,1.0283369784936571,9
