iteration,time_step,prediction,actual,error,rmse,mase
0,5,1110.287,1125.551,-15.26401269531243,12.78361438665043,0.35934864043742315
0,6,1151.6466,1154.299,-2.652393554687478,12.78361438665043,0.35934864043742315
0,7,1172.3181,1188.137,-15.818884765624944,12.78361438665043,0.35934864043742315
1,6,1155.1833,1154.299,0.8843496093750218,3.4262692609528105,0.09172788353918909
1,7,1182.8048,1188.137,-5.332190429687444,3.4262692609528105,0.09172788353918909
1,8,1214.8378,1217.288,-2.450231445312511,3.4262692609528105,0.09172788353918909
2,7,1193.0278,1188.137,4.890832031250056,4.5000955191899275,0.14339551551518387
2,8,1211.506,1217.288,-5.782018554687511,4.5000955191899275,0.14339551551518387
2,9,1248.1741,1246.33,1.8440722656250728,4.5000955191899275,0.14339551551518387
3,8,1228.4713,1217.288,11.183313476562489,13.280997765185337,0.29901621870276845
3,9,1240.9825,1246.33,-5.347456054687427,13.280997765185337,0.29901621870276845
3,10,1277.9694,1297.347,-19.37763964843748,13.280997765185337,0.29901621870276845
4,9,1259.7937,1246.33,13.463701171875073,17.905265035009414,0.49474287914269716
4,10,1269.5156,1297.347,-27.83137499999998,17.905265035009414,0.49474287914269716
4,11,1302.822,1305.259,-2.4369785156250146,17.905265035009414,0.49474287914269716
5,10,1285.1566,1297.347,-12.19038378906248,10.629949074310833,1.1540597453986023
5,11,1293.5948,1305.259,-11.664151367187515,10.629949074310833,1.1540597453986023
5,12,1322.7559,1315.385,7.370859375000009,10.629949074310833,1.1540597453986023
6,11,1304.9572,1305.259,-0.30184667968751455,1.0726102799449129,0.04586200086448942
6,12,1315.8099,1315.385,0.4249365234375091,1.0726102799449129,0.04586200086448942
6,13,1343.5282,1341.745,1.7831982421876091,1.0726102799449129,0.04586200086448942
7,12,1324.3309,1315.385,8.945932617187509,6.075222009020969,0.23502790272646668
7,13,1339.8728,1341.745,-1.8721972656248909,6.075222009020969,0.23502790272646668
7,14,1366.0764,1360.862,5.21441601562492,6.075222009020969,0.23502790272646668
8,13,1342.2622,1341.745,0.5172070312501091,8.157234475592805,0.1869642163518022
8,14,1364.2125,1360.862,3.35052441406242,8.157234475592805,0.1869642163518022
8,15,1390.728,1404.444,-13.71597265624996,8.157234475592805,0.1869642163518022
9,14,1362.5736,1360.862,1.71160839843742,8.735323503867933,0.3092187173742463
9,15,1393.3927,1404.444,-11.05129980468746,8.735323503867933,0.3092187173742463
9,16,1420.541,1410.35,10.191015625000091,8.735323503867933,0.3092187173742463
10,15,1390.5751,1404.444,-13.86892675781246,15.765148646861752,0.4618535121145486
10,16,1430.7256,1410.35,20.37558593750009,15.765148646861752,0.4618535121145486
10,17,1459.086,1470.838,-11.751940429687465,15.765148646861752,0.4618535121145486
11,16,1428.1388,1410.35,17.78879394531259,11.9211333243137,0.21536021710004516
11,17,1474.0101,1470.838,3.1721318359375346,11.9211333243137,0.21536021710004516
11,18,1496.1752,1506.167,-9.991829101562416,11.9211333243137,0.21536021710004516
12,17,1464.6471,1470.838,-6.190905273437465,9.737801545342087,0.2550982996275721
12,18,1504.6694,1506.167,-1.4975664062499163,9.737801545342087,0.2550982996275721
12,19,1516.1276,1531.745,-15.61743652343739,9.737801545342087,0.2550982996275721
13,18,1490.9714,1506.167,-15.195564453124916,13.924795924362732,0.5763749490918054
13,19,1516.4656,1531.745,-15.27942382812489,13.924795924362732,0.5763749490918054
13,20,1520.3771,1509.545,10.832075195312427,13.924795924362732,0.5763749490918054
14,19,1507.9547,1531.745,-23.79028808593739,17.87859971586055,1.498855717388457
14,20,1521.2706,1509.545,11.725629882812427,17.87859971586055,1.498855717388457
14,21,1524.8223,1508.839,15.983265625000058,17.87859971586055,1.498855717388457
15,20,1520.2167,1509.545,10.671674804687427,19.107746376879426,0.7060543843539239
15,21,1524.4663,1508.839,15.627308593750058,19.107746376879426,0.7060543843539239
15,22,1531.4502,1558.602,-27.15180468750009,19.107746376879426,0.7060543843539239
