iteration,time_step,prediction,actual,error,rmse,mase
0,5,4435209600000.0,4438753280000.0,-3543662592.0,84220928848.42201,0.18871292609791115
0,6,4752627000000.0,4810000039936.0,-57372835840.0,84220928848.42201,0.18871292609791115
0,7,4993517600000.0,5127589593088.0,-134071975936.0,84220928848.42201,0.18871292609791115
1,8,5124856000000.0,5291339415552.0,-166483460096.0,179227579488.31152,1.2045122729759616
1,9,5457548000000.0,5338703069184.0,118845079552.0,179227579488.31152,1.2045122729759616
1,10,5812012400000.0,5578502963200.0,233509486592.0,179227579488.31152,1.2045122729759616
2,11,5969001600000.0,5952682590208.0,16318988288.0,12164559928.249338,0.024647346086911378
2,12,6342839400000.0,6329737412608.0,13101957120.0,12164559928.249338,0.024647346086911378
2,13,6812052500000.0,6814493573120.0,-2441084928.0,12164559928.249338,0.024647346086911378
3,14,7313959700000.0,7248623435776.0,65336246272.0,79758280832.96169,0.10889947285352436
3,15,7872399000000.0,7830953263104.0,41445490688.0,79758280832.96169,0.10889947285352436
3,16,8488495000000.0,8602939555840.0,-114444730368.0,79758280832.96169,0.10889947285352436
4,17,9425207000000.0,9489543593984.0,-64336429056.0,127604315394.39136,0.18173869597801648
4,18,10181203000000.0,10358205972480.0,-177002774528.0,127604315394.39136,0.18173869597801648
4,19,10914817000000.0,10799147909120.0,115669467136.0,127604315394.39136,0.18173869597801648
5,20,11779395000000.0,11572544012288.0,206850490368.0,186120397683.2177,0.16623152977504183
5,21,12629313000000.0,12858808074240.0,-229495537664.0,186120397683.2177,0.16623152977504183
5,22,13783544000000.0,13691527364608.0,92016738304.0,186120397683.2177,0.16623152977504183
6,23,14034872000000.0,14773157625856.0,-738285584384.0,638495201809.489,0.5385828330292894
6,24,15246358000000.0,15925464006656.0,-679106052096.0,638495201809.489,0.5385828330292894
6,25,16638354000000.0,17103948087296.0,-465593958400.0,638495201809.489,0.5385828330292894
7,26,16443635000000.0,18301224747008.0,-1857590132736.0,1546373319425.4053,1.175122893424073
7,27,18043830000000.0,19545710395392.0,-1501879599104.0,1546373319425.4053,1.175122893424073
7,28,19682948000000.0,20894363680768.0,-1211415658496.0,1546373319425.4053,1.175122893424073
8,29,19675874000000.0,22294286041088.0,-2618411712512.0,1886436961709.7844,1.7681754017956097
8,30,21717622000000.0,23631939764224.0,-1914318094336.0,1886436961709.7844,1.7681754017956097
8,31,23757840000000.0,24151844716544.0,-394004529152.0,1886436961709.7844,1.7681754017956097
9,32,24102518000000.0,26180600201216.0,-2078082596864.0,1479270811842.9307,1.4763067532495273
9,33,26725067000000.0,26966017179648.0,-240950181888.0,1479270811842.9307,1.4763067532495273
