iteration,time_step,prediction,actual,error,rmse,mase,adjusted_prediction,adjusted_error,rmse_adjusted
0,5,4435209600000.0,4438753280000.0,-3543662592.0,84220928848.42201,0.18871292609791115,4436981582443.437,-1771697556.5634766,42110481879.01989
0,6,4752627000000.0,4810000039936.0,-57372835840.0,84220928848.42201,0.18871292609791115,4781313612506.213,-28686427429.78711,42110481879.01989
0,7,4993517600000.0,5127589593088.0,-134071975936.0,84220928848.42201,0.18871292609791115,5060553572760.616,-67036020327.38379,42110481879.01989
1,8,5124866000000.0,5291339415552.0,-166473498624.0,179161329162.29437,1.2035896621333368,5208102531290.24,-83236884261.75977,89580680217.75119
1,9,5457056400000.0,5338703069184.0,118353297408.0,179161329162.29437,1.2035896621333368,5397879719757.126,59176650573.12598,89580680217.75119
1,10,5812117000000.0,5578502963200.0,233613819904.0,179161329162.29437,1.2035896621333368,5695309812015.322,116806848815.32227,89580680217.75119
2,11,5977841600000.0,5952682590208.0,25159008256.0,19235163726.928085,0.0412031499869609,5965262081317.488,12579491109.488281,9617540485.205498
2,12,6350195000000.0,6329737412608.0,20457717760.0,19235163726.928085,0.0412031499869609,6339966212339.443,10228799731.44336,9617540485.205498
2,13,6822141000000.0,6814493573120.0,7647264768.0,19235163726.928085,0.0412031499869609,6818317094328.785,3823521208.7851562,9617540485.205498
3,14,7342860500000.0,7248623435776.0,94237097984.0,82900555817.437,0.12178011394085704,7295741854280.806,47118418504.805664,41450240124.04857
3,15,7905471400000.0,7830953263104.0,74518102016.0,82900555817.437,0.12178011394085704,7868212317188.5205,37259054084.52051,41450240124.04857
3,16,8524301600000.0,8602939555840.0,-78637957120.0,82900555817.437,0.12178011394085704,8563620543322.433,-39319012517.56738,41450240124.04857
4,17,9423719000000.0,9489543593984.0,-65824358400.0,125488103282.77887,0.17919413004349302,9456631379398.21,-32912214585.789062,62744048784.310974
4,18,10183826000000.0,10358205972480.0,-174380285952.0,125488103282.77887,0.17919413004349302,10271015983627.734,-87189988852.26562,62744048784.310974
4,19,10910953000000.0,10799147909120.0,111805464576.0,125488103282.77887,0.17919413004349302,10855050851337.246,55902942217.24609,62744048784.310974
5,20,11757967000000.0,11572544012288.0,185422839808.0,185410050658.9191,0.15868574802967772,11665255514242.148,92711501954.14844,92704932166.38187
5,21,12604772000000.0,12858808074240.0,-254036410368.0,185410050658.9191,0.15868574802967772,12731790071470.633,-127018002769.36719,92704932166.38187
5,22,13756447000000.0,13691527364608.0,64919437312.0,185410050658.9191,0.15868574802967772,13723986842758.57,32459478150.570312,92704932166.38187
6,23,14031002000000.0,14773157625856.0,-742155878400.0,642633140864.7756,0.5422709492242944,14402079891148.94,-371077734707.06055,321316549250.1742
6,24,15242307000000.0,15925464006656.0,-683156701184.0,642633140864.7756,0.5422709492242944,15583885536873.566,-341578469782.4336,321316549250.1742
6,25,16633381000000.0,17103948087296.0,-470567354368.0,642633140864.7756,0.5422709492242944,16868664347416.07,-235283739879.9297,321316549250.1742
7,26,16479778000000.0,18301224747008.0,-1821446766592.0,1508885659696.8525,1.1453074054155328,17390501209985.61,-910723537022.3906,754442773896.0558
7,27,18079027000000.0,19545710395392.0,-1466683097088.0,1508885659696.8525,1.1453074054155328,18812369100262.64,-733341295129.3594,754442773896.0558
7,28,19727582000000.0,20894363680768.0,-1166781972480.0,1508885659696.8525,1.1453074054155328,20310972833030.957,-583390847737.043,754442773896.0558
8,29,19802857000000.0,22294286041088.0,-2491429158912.0,1774635169914.8652,1.6193220156559822,21048570851186.707,-1245715189901.293,887317943800.5461
8,30,21847242000000.0,23631939764224.0,-1784697323520.0,1774635169914.8652,1.6193220156559822,22739590946710.9,-892348817513.1016,887317943800.5461
8,31,23915993000000.0,24151844716544.0,-235852005376.0,1774635169914.8652,1.6193220156559822,24033918240706.543,-117926475837.45703,887317943800.5461
9,32,24322660000000.0,26180600201216.0,-1857940357120.0,1313807117906.3047,1.192551186064147,25251629795072.652,-928970406143.3477,656903720890.6376
9,33,26950658000000.0,26966017179648.0,-15359541248.0,1313807117906.3047,1.192551186064147,26958337235000.223,-7679944647.777344,656903720890.6376
