country,model_type,data_type,rmse,mase,n_predictions
United States,loco,actual,290.23374841472634,1.1660166689257718,9
United States,single,actual,353.42489439630117,1.648852662948956,9
Japan,loco,actual,196.1765353925021,5.331967455982436,9
Japan,single,actual,123.71221718532568,2.538262866015425,9
Germany,loco,actual,28.04386877254143,0.9380244666430614,9
Germany,single,actual,26.85149809011411,0.8171618149842027,9
United Kingdom,loco,actual,44.81766984792703,1.7896792997284348,9
United Kingdom,single,actual,37.587986870378,1.5513617637569344,9
France,loco,actual,26.777972497509197,1.7854633620313434,9
France,single,actual,26.092324084506263,1.7147203928239942,9
Italy,loco,actual,24.642097540763654,1.5236951075126886,9
Italy,single,actual,14.36422452970805,0.8153663158762491,9
Canada,loco,actual,39.95505550011905,2.267226806572461,9
Canada,single,actual,41.054894398166695,2.3647672858324778,9
Australia,loco,actual,19.723573462957074,2.2803584071006795,9
Australia,single,actual,31.064651118223587,3.996049976025846,9
South Korea,loco,actual,58.07806921021828,2.6391693790856166,9
South Korea,single,actual,71.39279571142853,3.2688098721138426,9
