country,model_type,data_type,rmse,mase,n_predictions
United States,loco,actual,425148425331.7826,0.55375857834755,9
United States,single,actual,846872299950.9243,1.5162830388759123,9
Japan,loco,actual,127258834124.38109,1.3101991530235395,9
Japan,single,actual,256161172907.14313,2.72958835078,9
Germany,loco,actual,87695721530.30354,0.8867714823878976,9
Germany,single,actual,172093587427.51425,1.759818556206581,9
United Kingdom,loco,actual,144462808241.24747,1.1886955934035457,9
United Kingdom,single,actual,190552234280.5835,1.3809414318677806,9
France,loco,actual,98279490809.66452,0.8767134202443368,9
France,single,actual,136222991877.37476,1.39828735350979,9
Italy,loco,actual,125877325783.31078,1.3170054749066398,9
Italy,single,actual,130384751016.21028,1.689381791826022,9
Canada,loco,actual,70527778650.15753,1.0348897460237552,9
Canada,single,actual,81728194633.81956,1.451901679165064,9
Australia,loco,actual,26977484738.78026,0.6638993589084805,9
Australia,single,actual,59435231972.40762,1.606475528966689,9
South Korea,loco,actual,114291456819.44086,1.9314218321647179,9
South Korea,single,actual,234245996506.38422,3.864352021378268,9
