country,model_type,data_type,rmse,mase,n_predictions
United States,loco,actual,891.2789515933213,1.0532158173330923,9
United States,single,actual,927.5270905278226,0.9776554669396766,9
Japan,loco,actual,404.54088892300285,2.588348781909678,9
Japan,single,actual,270.27244228547414,1.856417974122724,9
Germany,loco,actual,130.84609676064076,1.0744030644149078,9
Germany,single,actual,107.22561853311743,0.7966621872772721,9
United Kingdom,loco,actual,132.96823372374678,2.5444956591168237,9
United Kingdom,single,actual,160.2958451548613,2.6942460241040576,9
France,loco,actual,169.08677411415073,1.1409882097665422,9
France,single,actual,262.7310662578996,1.7307905736779807,9
Italy,loco,actual,75.27290505763348,0.9680964564817809,9
Italy,single,actual,116.30826601046564,1.6571375207136971,9
Canada,loco,actual,191.69039412081145,2.253962077677924,9
Canada,single,actual,212.25525770332519,2.3326137101916906,9
Australia,loco,actual,81.7102411625451,1.8659421042715791,9
Australia,single,actual,78.96631987789443,1.77968420735142,9
South Korea,loco,actual,350.18270919126974,4.105060619754596,9
South Korea,single,actual,329.5863938794347,3.802307191189626,9
