Target,Model,Country_Group,Strategy,LOCO_Avg_RMSE,Single_Avg_RMSE,Better_Method,Improvement_Pct
Co2,Bi-LSTM,Developed,Non-Recursive,100.8118,110.8008,LOCO,9.0153
Co2,Bi-LSTM,Developing,Non-Recursive,206.4051,133.4562,Single Country,54.6612
Co2,CNN,Developed,Non-Recursive,80.9387,80.6162,Single Country,0.4001
Co2,CNN,Developing,Non-Recursive,189.0359,153.7931,Single Country,22.9157
Co2,ED-LSTM,Developed,Non-Recursive,88.5534,102.9368,LOCO,13.9731
Co2,ED-LSTM,Developing,Non-Recursive,180.0121,173.1525,Single Country,3.9616
Co2,LSTM,Developed,Non-Recursive,88.2143,97.9385,LOCO,9.9289
Co2,LSTM,Developing,Non-Recursive,191.0764,148.9634,Single Country,28.2706
Gdp,Bi-LSTM,Developed,Non-Recursive,277394531363.8090,345716060991.0009,LOCO,19.7623
Gdp,Bi-LSTM,Developing,Non-Recursive,406761271288.2008,288947758579.3765,Single Country,40.7733
Gdp,CNN,Developed,Non-Recursive,135613258447.6743,234188495619.1513,LOCO,42.0923
Gdp,CNN,Developing,Non-Recursive,353329913154.6663,281732312883.3822,Single Country,25.4133
Gdp,ED-LSTM,Developed,Non-Recursive,172484442647.3132,419171765289.2849,LOCO,58.8511
Gdp,ED-LSTM,Developing,Non-Recursive,469421101657.0830,291792667889.2611,Single Country,60.8749
Gdp,LSTM,Developed,Non-Recursive,220108105205.9339,259490766901.2700,LOCO,15.1769
Gdp,LSTM,Developing,Non-Recursive,365991505626.7413,284607914019.3133,Single Country,28.5950
Primary Energy Consumption,Bi-LSTM,Developed,Non-Recursive,442.5484,438.0030,Single Country,1.0378
Primary Energy Consumption,Bi-LSTM,Developing,Non-Recursive,580.0641,354.7385,Single Country,63.5188
Primary Energy Consumption,CNN,Developed,Non-Recursive,269.7308,273.9076,LOCO,1.5249
Primary Energy Consumption,CNN,Developing,Non-Recursive,542.5718,373.4778,Single Country,45.2755
Primary Energy Consumption,ED-LSTM,Developed,Non-Recursive,379.9231,336.2663,Single Country,12.9828
Primary Energy Consumption,ED-LSTM,Developing,Non-Recursive,635.0370,419.6925,Single Country,51.3101
Primary Energy Consumption,LSTM,Developed,Non-Recursive,384.7829,334.0200,Single Country,15.1976
Primary Energy Consumption,LSTM,Developing,Non-Recursive,479.4615,352.4664,Single Country,36.0304
