country,model_type,strategy,data_type,rmse,mase,n_predictions
United States,loco,non_recursive,actual,1182.81779726731,1.5056447569986273,9
United States,loco,recursive,actual,1392.0780881199298,1.78828639262424,9
United States,single,non_recursive,actual,1144.642872324536,1.4986837575697611,9
United States,single,recursive,actual,935.90967427613,1.2135970191788163,9
Japan,loco,non_recursive,actual,615.5525952149468,3.5583168597424404,9
Japan,loco,recursive,actual,376.0290572941552,2.142982523704665,9
Japan,single,non_recursive,actual,385.4400706060992,2.489739103145414,9
Japan,single,recursive,actual,805.2114100401229,4.997700050744194,9
Germany,loco,non_recursive,actual,231.6145228446891,1.5673381629830065,9
Germany,loco,recursive,actual,177.67849522628157,1.1508750533880698,9
Germany,single,non_recursive,actual,177.91040004286987,1.1153172713894102,9
Germany,single,recursive,actual,199.0803833603394,1.2403557524984934,9
United Kingdom,loco,non_recursive,actual,101.88455169676891,1.516438771990724,9
United Kingdom,loco,recursive,actual,110.37199793917277,1.5219650252398624,9
United Kingdom,single,non_recursive,actual,94.14790373881266,1.3284284361960657,9
United Kingdom,single,recursive,actual,78.73032217873269,1.2300195102826965,9
France,loco,non_recursive,actual,120.49135857213236,0.75803688939319,9
France,loco,recursive,actual,214.17747247371707,1.2741656644201653,9
France,single,non_recursive,actual,121.990901876652,0.7111257408450076,9
France,single,recursive,actual,191.16837164129493,1.090263345441213,9
Italy,loco,non_recursive,actual,147.73764730725975,1.9771746494966056,9
Italy,loco,recursive,actual,137.6530175246531,2.1096410158154275,9
Italy,single,non_recursive,actual,100.04339930597173,1.378319835022537,9
Italy,single,recursive,actual,105.80586985429724,1.5577725578279369,9
Canada,loco,non_recursive,actual,371.6696860606403,4.0125443647518155,9
Canada,loco,recursive,actual,1088.2432482246572,11.552534931437648,9
Canada,single,non_recursive,actual,127.76631251015418,1.0892188538879723,9
Canada,single,recursive,actual,294.16817918900165,2.7708726604381457,9
Australia,loco,non_recursive,actual,30.951700838816983,0.769496443363244,9
Australia,loco,recursive,actual,35.44696435052356,0.9375962683566667,9
Australia,single,non_recursive,actual,35.29855662897418,0.8113056509627445,9
Australia,single,recursive,actual,43.16795714822469,1.0214692532846978,9
South Korea,loco,non_recursive,actual,160.02500867900858,1.6966691804311267,9
South Korea,loco,recursive,actual,411.1190589031116,4.8378068683179976,9
South Korea,single,non_recursive,actual,119.0685398466966,1.1273507342350018,9
South Korea,single,recursive,actual,160.08040107011607,1.59226381042871,9
