country,model_type,strategy,data_type,rmse,mase,n_predictions
China,loco,non_recursive,actual,4696253452417.715,3.360618192862658,9
China,loco,recursive,actual,6386279865354.002,4.670706979577267,9
China,single,non_recursive,actual,1187644155719.8362,0.6265911845118564,9
China,single,recursive,actual,1989467047886.7678,1.1219229006223435,9
Brazil,loco,non_recursive,actual,308354594060.05725,3.3434976423013434,9
Brazil,loco,recursive,actual,952616404028.6805,9.935099278383904,9
Brazil,single,non_recursive,actual,396568952030.6993,4.2005562995539725,9
Brazil,single,recursive,actual,1143077592121.917,12.211389120698357,9
Russia,loco,non_recursive,actual,127655880088.91316,1.162268868199164,9
Russia,loco,recursive,actual,295242704311.3603,2.451722097222896,9
Russia,single,non_recursive,actual,178234402567.72726,1.767406474967321,9
Russia,single,recursive,actual,172816727770.76633,1.6396046786937546,9
India,loco,non_recursive,actual,598559878368.4945,0.7611199515760426,9
India,loco,recursive,actual,465117431607.35583,0.6238111833794301,9
India,single,non_recursive,actual,887336963443.6027,1.0334675962588153,9
India,single,recursive,actual,938851117907.3312,1.0161681538566096,9
Mexico,loco,non_recursive,actual,179909876218.71075,2.1471837635175564,9
Mexico,loco,recursive,actual,310588603724.8184,3.3599297826544796,9
Mexico,single,non_recursive,actual,104540619719.12048,1.2352474291721192,9
Mexico,single,recursive,actual,136812835446.0574,1.4958482999103306,9
Indonesia,loco,non_recursive,actual,144842340075.01224,0.8141969323027741,9
Indonesia,loco,recursive,actual,168648699901.8187,1.0139965155871373,9
Indonesia,single,non_recursive,actual,235492968893.398,1.3735393427186422,9
Indonesia,single,recursive,actual,440104193390.4686,2.523410746364109,9
Turkey,loco,non_recursive,actual,174935084680.44568,1.3625202391274822,9
Turkey,loco,recursive,actual,386837607466.1238,3.7358056462668388,9
Turkey,single,non_recursive,actual,99112482033.19792,0.751551098314731,9
Turkey,single,recursive,actual,77473898423.73018,0.6837165516036317,9
Saudi Arabia,loco,non_recursive,actual,208573920924.79358,3.1282568087956655,9
Saudi Arabia,loco,recursive,actual,320829240605.9873,5.434254591556491,9
Saudi Arabia,single,non_recursive,actual,354248671495.7345,5.738603162908422,9
Saudi Arabia,single,recursive,actual,1133936106156.3435,16.63357630103376,9
South Africa,loco,non_recursive,actual,56348163287.626976,3.124034579737791,9
South Africa,loco,recursive,actual,69307700933.33904,3.9296985317725452,9
South Africa,single,non_recursive,actual,78842563702.76973,4.466040819391225,9
South Africa,single,recursive,actual,208437436724.4276,10.87103529694519,9
Argentina,loco,non_recursive,actual,112902596920.48479,2.748149855798899,9
Argentina,loco,recursive,actual,323769857482.12177,7.7560540922913805,9
Argentina,single,non_recursive,actual,101861598716.92186,2.5081563185682336,9
Argentina,single,recursive,actual,300523993579.8555,6.890771177553694,9
