country,rank,similar_country,similarity
United States,1,Japan,0.9918059574067446
United States,2,Canada,0.9450993056834569
United States,3,South Africa,0.9146302182396218
United States,4,Mexico,0.9129210961187094
United States,5,Australia,0.9101337124845121
United States,6,South Korea,0.8819882175722037
United States,7,Argentina,0.8676738948784838
United States,8,Brazil,0.8640237410166711
United States,9,Italy,0.8450596560802505
United States,10,Turkey,0.8359823224229319
United States,11,Saudi Arabia,0.8266011322862492
United States,12,Indonesia,0.820464208395246
United States,13,China,0.8026068187106076
United States,14,India,0.7931268141594588
United States,15,Russia,-0.5082904922237177
United States,16,United Kingdom,-0.7270662247053323
United States,17,France,-0.7617187131564006
United States,18,Germany,-0.789150786017893
China,1,India,0.999812006477249
China,2,Indonesia,0.9994420367839484
China,3,Saudi Arabia,0.9988613210878124
China,4,Turkey,0.9982373119095467
China,5,Brazil,0.993702043159202
China,6,Argentina,0.9926782550362735
China,7,South Korea,0.9885780634514281
China,8,Australia,0.9771411030177992
China,9,Mexico,0.9725069715985556
China,10,South Africa,0.9706046484977192
China,11,Canada,0.9524377920452652
China,12,Japan,0.8604470251525278
China,13,United States,0.8026068187106076
China,14,Italy,0.36707734354925203
China,15,Russia,-0.6144262284982522
China,16,United Kingdom,-0.991270645663895
China,17,France,-0.9923754685781244
China,18,Germany,-0.9976996665352396
Japan,1,United States,0.9918059574067446
Japan,2,Canada,0.974408394106602
Japan,3,South Africa,0.9539228596909376
Japan,4,Mexico,0.952877373022777
Japan,5,Australia,0.9480137012428038
Japan,6,South Korea,0.9250196590396633
Japan,7,Argentina,0.915189555780952
Japan,8,Brazil,0.9117241065877006
Japan,9,Turkey,0.8886199605546435
Japan,10,Saudi Arabia,0.8819282392406093
Japan,11,Indonesia,0.8754035189041509
Japan,12,China,0.8604470251525278
Japan,13,India,0.8522390091242651
Japan,14,Italy,0.7885739683081744
Japan,15,Russia,-0.4940275063446703
Japan,16,United Kingdom,-0.7984700105428073
Japan,17,France,-0.8268586994316565
Japan,18,Germany,-0.8448602028392443
Germany,1,France,0.9914855135815865
Germany,2,United Kingdom,0.9877925149188531
Germany,3,Russia,0.6589704208801411
Germany,4,Italy,-0.34227715064664405
Germany,5,United States,-0.789150786017893
Germany,6,Japan,-0.8448602028392443
Germany,7,Canada,-0.9424282725896714
Germany,8,South Africa,-0.9609729710064734
Germany,9,Mexico,-0.9626051422546301
Germany,10,Australia,-0.9707555209202791
Germany,11,South Korea,-0.9846025052487296
Germany,12,Argentina,-0.9868526284778218
Germany,13,Brazil,-0.9889653799737635
Germany,14,Saudi Arabia,-0.9945478854306784
Germany,15,Turkey,-0.9948489214151883
Germany,16,Indonesia,-0.9967702224833997
Germany,17,China,-0.9976996665352396
Germany,18,India,-0.9980244742045815
United Kingdom,1,France,0.992343693954871
United Kingdom,2,Germany,0.9877925149188531
United Kingdom,3,Russia,0.5581538502313511
United Kingdom,4,Italy,-0.26447196603622436
United Kingdom,5,United States,-0.7270662247053323
United Kingdom,6,Japan,-0.7984700105428073
United Kingdom,7,Canada,-0.9114544228816317
United Kingdom,8,South Africa,-0.9396254751574079
United Kingdom,9,Mexico,-0.9424312953871478
United Kingdom,10,Australia,-0.9448914451799264
United Kingdom,11,South Korea,-0.9620404563899703
United Kingdom,12,Argentina,-0.9713037952745626
United Kingdom,13,Brazil,-0.9724041258946324
United Kingdom,14,Turkey,-0.9831144369208943
United Kingdom,15,Saudi Arabia,-0.9867547397436439
United Kingdom,16,Indonesia,-0.987414035212046
United Kingdom,17,China,-0.991270645663895
United Kingdom,18,India,-0.9929815473768241
France,1,United Kingdom,0.992343693954871
France,2,Germany,0.9914855135815865
France,3,Russia,0.5820635646543557
France,4,Italy,-0.3162001789741333
France,5,United States,-0.7617187131564006
France,6,Japan,-0.8268586994316565
France,7,Canada,-0.9283333232221144
France,8,South Africa,-0.9564873768501004
France,9,Mexico,-0.9568933033626837
France,10,Australia,-0.9600879832959581
France,11,South Korea,-0.974013744308092
France,12,Argentina,-0.9781934647244386
France,13,Brazil,-0.9799852508852055
France,14,Turkey,-0.9881907731482312
